GameIndex,HomeTeam,AwayTeam,Date,AvgO25,AvgU25,AvgA,AvgH,Played,HtPos,AtPos,HtSGLG,AtSGLG,HtCGLG,AtCGLG,HtASGPG,AtASGPG,HtACGPG,AtACGPG,HtASGP5G,AtASGP5G,HtACGP5G,AtACGP5G,AGTM,HtASGP3G,AtASGP3G,HtpercentGO,AtpercentGO,elo_ht,elo_at,win_e_ht,tilt_ht,tilt_at,HtACGP3G,AtACGP3G,OvUn25,AvgD
21/08/2022NewcastleMan City,Newcastle,Man City,21/08/2022,1.65,2.26,1.37,8.67,2.0,6.0,3.0,0.0,4.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,3.0,0.0,0.0,3.8,1.0,3.0,0.0,0.5,1133.665567883487,1361.0679771255263,0.287802433748672,0.9363256071469284,1.375697830644223,0.0,0.0,1.0,
22/08/2022Man UnitedLiverpool,Man United,Liverpool,22/08/2022,1.5,2.58,1.6,5.22,2.0,19.0,15.0,0.0,1.0,4.0,1.0,0.5,1.5,3.0,1.5,0.5,1.5,3.0,1.5,2.333333333333333,0.5,1.5,1.0,0.5,1047.0397863203268,1325.4409414980512,0.2315368656512664,1.1575023104977085,1.1510368519459406,3.0,1.5,1.0,
27/08/2022SouthamptonMan United,Southampton,Man United,27/08/2022,1.59,2.39,1.8,4.27,3.0,12.0,14.0,2.0,2.0,1.0,1.0,1.6666666666666667,1.0,2.333333333333333,2.333333333333333,1.6666666666666667,1.0,2.333333333333333,2.333333333333333,3.0,1.6666666666666667,1.0,1.0,1.0,980.2283467029098,1077.7783116942762,0.4604353025448616,1.2279368014823508,1.1517541098483668,2.333333333333333,2.333333333333333,0.0,
27/08/2022BrentfordEverton,Brentford,Everton,27/08/2022,2.04,1.8,3.77,2.06,3.0,8.0,17.0,2.0,1.0,3.0,1.0,2.6666666666666665,0.6666666666666666,1.6666666666666667,1.3333333333333333,2.6666666666666665,0.6666666666666666,1.6666666666666667,1.3333333333333333,3.0,2.6666666666666665,0.6666666666666666,1.0,0.3333333333333333,1027.47186676875,962.5230862636904,0.6849959922536848,1.1706866078930926,1.0538716061106088,1.6666666666666667,1.3333333333333333,0.0,
27/08/2022BrightonLeeds,Brighton,Leeds,27/08/2022,1.82,2.01,4.04,1.91,3.0,5.0,3.0,2.0,3.0,0.0,0.0,1.3333333333333333,2.333333333333333,0.3333333333333333,1.0,1.3333333333333333,2.333333333333333,0.3333333333333333,1.0,1.25,1.3333333333333333,2.333333333333333,0.3333333333333333,1.0,1123.2665911163708,1050.1812155279229,0.6950138975776424,0.8668493892274374,1.1919066717260254,0.3333333333333333,1.0,0.0,
27/08/2022ChelseaLeicester,Chelsea,Leicester,27/08/2022,1.64,2.28,7.52,1.42,3.0,11.0,19.0,0.0,1.0,3.0,2.0,1.0,1.6666666666666667,1.6666666666666667,2.6666666666666665,1.0,1.6666666666666667,1.6666666666666667,2.6666666666666665,2.1666666666666665,1.0,1.6666666666666667,0.6666666666666666,1.0,1158.440050953796,1028.7445671538885,0.7594268148507342,1.0765420879376115,1.2372672504129976,1.6666666666666667,2.6666666666666665,1.0,
27/08/2022LiverpoolBournemouth,Liverpool,Bournemouth,27/08/2022,1.36,3.16,25.51,1.11,3.0,16.0,15.0,1.0,0.0,2.0,3.0,1.3333333333333333,0.6666666666666666,1.6666666666666667,2.333333333333333,1.3333333333333333,0.6666666666666666,1.6666666666666667,2.333333333333333,3.875,1.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,1294.7024161241018,931.846303190785,0.9235593246847348,1.1453207590105174,1.1483765106938184,1.6666666666666667,2.333333333333333,1.0,
27/08/2022Man CityCrystal Palace,Man City,Crystal Palace,27/08/2022,1.45,2.77,15.25,1.19,3.0,2.0,9.0,3.0,3.0,3.0,1.0,3.0,1.3333333333333333,1.0,1.3333333333333333,3.0,1.3333333333333333,1.0,1.3333333333333333,3.0,3.0,1.3333333333333333,0.6666666666666666,0.3333333333333333,1352.580074475473,1071.5860977779375,0.8829310202477255,1.435073483995165,0.9436334461120924,1.0,1.3333333333333333,1.0,
27/08/2022ArsenalFulham,Arsenal,Fulham,27/08/2022,1.49,2.62,9.44,1.32,3.0,1.0,7.0,3.0,3.0,0.0,2.0,3.0,1.6666666666666667,0.6666666666666666,1.3333333333333333,3.0,1.6666666666666667,0.6666666666666666,1.3333333333333333,4.0,3.0,1.6666666666666667,0.6666666666666666,0.6666666666666666,1200.9642808792437,942.1694438488188,0.869062533191935,1.157905421294752,0.8561442179467585,0.6666666666666666,1.3333333333333333,1.0,
28/08/2022Aston VillaWest Ham,Aston Villa,West Ham,28/08/2022,1.88,1.95,3.18,2.3,3.0,15.0,20.0,1.0,0.0,3.0,2.0,1.0,0.0,2.0,1.6666666666666667,1.0,0.0,2.0,1.6666666666666667,2.833333333333333,1.0,0.0,0.6666666666666666,0.0,999.6696779259474,1011.125757526138,0.5834630364377408,1.0693914885239393,1.0168963796082493,2.0,1.6666666666666667,0.0,
28/08/2022WolvesNewcastle,Wolves,Newcastle,28/08/2022,2.11,1.75,2.7,2.75,3.0,18.0,10.0,0.0,3.0,1.0,3.0,0.3333333333333333,1.6666666666666667,1.0,1.0,0.3333333333333333,1.6666666666666667,1.0,1.0,2.125,0.3333333333333333,1.6666666666666667,0.3333333333333333,0.3333333333333333,973.1124329310048,1142.1534705335405,0.3612077418386832,0.8412771116368402,0.9767377844689878,1.0,1.0,0.0,
28/08/2022Nott'm ForestTottenham,Nott'm Forest,Tottenham,28/08/2022,1.74,2.12,1.47,6.98,3.0,12.0,4.0,1.0,1.0,1.0,0.0,0.6666666666666666,2.333333333333333,1.0,1.0,0.6666666666666666,2.333333333333333,1.0,1.0,0.0,0.6666666666666666,2.333333333333333,0.0,0.6666666666666666,1010.866333299869,1212.6134851355646,0.3189942722411718,0.94920102822637,1.1494376733069638,1.0,1.0,0.0,
30/08/2022Crystal PalaceBrentford,Crystal Palace,Brentford,30/08/2022,2.09,1.77,3.72,2.1,4.0,12.0,10.0,2.0,1.0,4.0,1.0,1.5,2.25,2.0,1.5,1.5,2.25,2.0,1.5,0.0,2.0,2.333333333333333,0.5,0.75,1066.9033385878463,1020.0720270786028,0.6620705758009733,0.980071185173442,1.150107565190098,2.0,1.3333333333333333,0.0,
30/08/2022FulhamBrighton,Fulham,Brighton,30/08/2022,2.01,1.83,2.33,3.21,4.0,11.0,4.0,1.0,1.0,2.0,0.0,1.5,1.25,1.5,0.25,1.5,1.25,1.5,0.25,2.5,1.3333333333333333,1.0,0.75,0.25,936.931945176496,1135.466035213265,0.3230256398247121,0.8651547107206833,0.8402867570422824,1.3333333333333333,0.0,1.0,
30/08/2022SouthamptonChelsea,Southampton,Chelsea,30/08/2022,1.75,2.11,1.65,5.22,4.0,14.0,6.0,0.0,2.0,1.0,1.0,1.25,1.25,2.0,1.5,1.25,1.25,2.0,1.5,3.5,1.3333333333333333,1.3333333333333333,0.75,0.75,961.8109346011154,1168.0629783597665,0.3133874635043897,1.183904778975616,1.0712089527943196,1.3333333333333333,2.0,1.0,
30/08/2022LeedsEverton,Leeds,Everton,30/08/2022,1.84,1.99,3.46,2.14,4.0,5.0,18.0,0.0,1.0,1.0,1.0,1.75,0.75,1.0,1.25,1.75,0.75,1.0,1.25,2.75,1.6666666666666667,1.0,0.75,0.25,1037.9817714310286,969.9229259538376,0.688846178254255,1.15538339684859,1.0353460087052917,1.0,1.3333333333333333,0.0,
31/08/2022ArsenalAston Villa,Arsenal,Aston Villa,31/08/2022,1.75,2.11,7.0,1.47,4.0,1.0,16.0,2.0,0.0,1.0,1.0,2.75,0.75,0.75,1.75,2.75,0.75,0.75,1.75,2.5,3.0,1.0,0.75,0.5,1206.201779551566,976.3311564684378,0.8489249519578285,1.1700918008938412,1.0355896013872818,1.0,1.6666666666666667,1.0,
31/08/2022BournemouthWolves,Bournemouth,Wolves,31/08/2022,2.11,1.75,2.16,3.53,4.0,18.0,19.0,0.0,1.0,9.0,1.0,0.5,0.5,4.0,1.0,0.5,0.5,4.0,1.0,2.0,0.0,0.3333333333333333,0.75,0.25,928.7886761781745,978.6641232574574,0.5289292136080272,1.248118898368524,0.8401659054108807,5.333333333333333,0.6666666666666666,0.0,
31/08/2022Man CityNott'm Forest,Man City,Nott'm Forest,31/08/2022,1.24,4.07,30.99,1.08,4.0,2.0,14.0,4.0,0.0,2.0,2.0,3.25,0.5,1.25,1.25,3.25,0.5,1.25,1.25,0.0,3.6666666666666665,0.6666666666666666,0.75,0.0,1357.262833665564,998.106562410222,0.922042109715374,1.490487833029871,0.9365406018220506,1.6666666666666667,1.0,1.0,
31/08/2022West HamTottenham,West Ham,Tottenham,31/08/2022,1.75,2.1,2.01,3.63,4.0,17.0,3.0,1.0,2.0,0.0,0.0,0.25,2.25,1.25,0.75,0.25,2.25,1.25,0.75,3.0,0.3333333333333333,1.6666666666666667,0.0,0.5,1034.4642789836475,1225.3732560252115,0.3326978945697604,0.9847537854113964,1.1341064940978065,1.0,0.6666666666666666,0.0,
31/08/2022LiverpoolNewcastle,Liverpool,Newcastle,31/08/2022,1.49,2.61,9.58,1.31,4.0,12.0,10.0,9.0,1.0,0.0,1.0,3.25,1.5,1.25,1.0,3.25,1.5,1.25,1.0,2.8,3.6666666666666665,1.3333333333333333,0.75,0.25,1297.7600431367125,1136.6017802070876,0.7909487812195963,1.244797738984704,0.9754476541513804,1.0,1.3333333333333333,1.0,
01/09/2022LeicesterMan United,Leicester,Man United,01/09/2022,1.63,2.3,2.07,3.41,4.0,20.0,12.0,1.0,1.0,2.0,0.0,1.5,1.0,2.5,1.75,1.5,1.0,2.5,1.75,3.0,1.3333333333333333,1.0,1.0,0.75,1019.1216397479176,1096.1957237960708,0.4898209812827532,1.231137890930673,1.1104538875357477,2.6666666666666665,1.6666666666666667,0.0,
03/09/2022EvertonLiverpool,Everton,Liverpool,03/09/2022,1.58,2.4,1.4,7.77,5.0,17.0,6.0,1.0,2.0,1.0,1.0,0.8,3.0,1.2,1.2,0.8,3.0,1.2,1.2,2.333333333333333,1.0,4.0,0.2,0.8,977.4767730840078,1306.1220918879285,0.1840895715792316,1.0181992507748816,1.2440680722350332,1.0,1.0,0.0,
03/09/2022BrentfordLeeds,Brentford,Leeds,03/09/2022,1.75,2.1,3.33,2.17,5.0,11.0,7.0,1.0,1.0,1.0,1.0,2.0,1.6,1.4,1.0,2.0,1.6,1.4,1.0,3.5,1.3333333333333333,1.3333333333333333,0.6,0.6,1026.5548501106416,1030.4279243008584,0.5940315979495029,1.1334155488629931,1.13624865420603,1.6666666666666667,0.6666666666666666,1.0,
03/09/2022ChelseaWest Ham,Chelsea,West Ham,03/09/2022,1.74,2.12,6.03,1.55,5.0,9.0,14.0,1.0,1.0,2.0,1.0,1.2,0.4,1.6,1.2,1.2,0.4,1.6,1.2,2.25,1.0,0.6666666666666666,0.8,0.0,1140.5984768999422,1041.1563632008572,0.7261919803124932,1.0683282566561692,0.9707861525316248,2.0,1.0,1.0,
03/09/2022NewcastleCrystal Palace,Newcastle,Crystal Palace,03/09/2022,2.05,1.79,3.8,2.05,5.0,12.0,13.0,1.0,1.0,2.0,1.0,1.4,1.4,1.2,1.8,1.4,1.4,1.2,1.8,1.4,1.6666666666666667,2.0,0.4,0.4,1128.2397314558714,1060.4205155558077,0.6885504406228442,0.9748758731326752,0.9658469815252066,2.0,2.0,0.0,
03/09/2022Nott'm ForestBournemouth,Nott'm Forest,Bournemouth,03/09/2022,2.1,1.75,3.89,2.02,5.0,15.0,16.0,0.0,0.0,6.0,0.0,0.4,0.4,2.2,3.2,0.4,0.4,2.2,3.2,0.0,0.3333333333333333,0.0,0.2,0.6,994.988246798837,927.6315076338532,0.6879792423735078,0.9702241249476512,1.185712953450098,3.0,4.0,1.0,
03/09/2022TottenhamFulham,Tottenham,Fulham,03/09/2022,1.62,2.32,6.54,1.49,5.0,3.0,8.0,1.0,2.0,1.0,1.0,2.0,1.6,0.8,1.4,2.0,1.6,0.8,1.4,2.5,1.3333333333333333,2.0,0.4,0.8,1218.681171808002,964.0109195835076,0.8663369925607368,1.118020459811068,0.8933011708323271,0.3333333333333333,1.6666666666666667,1.0,
03/09/2022WolvesSouthampton,Wolves,Southampton,03/09/2022,2.02,1.81,3.33,2.24,5.0,18.0,10.0,0.0,2.0,0.0,1.0,0.4,1.4,0.8,1.8,0.4,1.4,0.8,1.8,2.875,0.3333333333333333,1.3333333333333333,0.2,0.8,979.8212918017784,989.2754360609398,0.5862610532424379,0.7981576101403366,1.1807210211141486,0.6666666666666666,1.0,0.0,
03/09/2022Aston VillaMan City,Aston Villa,Man City,03/09/2022,1.52,2.54,1.34,8.75,5.0,19.0,2.0,1.0,6.0,2.0,0.0,0.8,3.8,1.8,1.0,0.8,3.8,1.8,1.0,3.8333333333333335,0.6666666666666666,4.333333333333333,0.6,0.8,970.288154546751,1360.3811492769491,0.1367436844629651,1.0350881492078368,1.5440945653964269,2.0,1.6666666666666667,0.0,
04/09/2022BrightonLeicester,Brighton,Leicester,04/09/2022,1.97,1.86,4.43,1.87,5.0,4.0,20.0,1.0,0.0,2.0,1.0,1.2,1.2,0.6,2.2,1.2,1.2,0.6,2.2,2.2,1.3333333333333333,0.6666666666666666,0.4,0.8,1108.3870608062534,999.5288004966076,0.7368365774922928,0.8676241770393734,1.187591649707514,0.6666666666666666,1.6666666666666667,1.0,
04/09/2022Man UnitedArsenal,Man United,Arsenal,04/09/2022,1.7,2.18,2.67,2.61,5.0,8.0,1.0,1.0,2.0,0.0,1.0,1.0,2.6,1.4,0.8,1.0,2.6,1.4,0.8,2.583333333333333,1.3333333333333333,2.333333333333333,0.6,0.8,1115.7885630473809,1212.244781473253,0.4619998592350417,1.0711763271503123,1.169525220191483,0.3333333333333333,0.6666666666666666,1.0,
16/09/2022Aston VillaSouthampton,Aston Villa,Southampton,16/09/2022,1.84,1.99,3.53,2.1,6.0,17.0,12.0,1.0,0.0,1.0,1.0,0.8333333333333334,1.1666666666666667,1.6666666666666667,1.6666666666666667,1.0,1.2,1.6,1.2,3.1666666666666665,0.6666666666666666,0.6666666666666666,0.5,0.6666666666666666,984.8184071682324,972.7258781906372,0.6159901059620488,1.009238890885594,1.1467426776413876,1.3333333333333333,1.0,0.0,
16/09/2022Nott'm ForestFulham,Nott'm Forest,Fulham,16/09/2022,1.88,1.94,2.57,2.81,6.0,19.0,9.0,2.0,1.0,3.0,2.0,0.6666666666666666,1.5,2.333333333333333,1.5,0.8,1.4,2.4,1.4,0.0,0.6666666666666666,1.3333333333333333,0.3333333333333333,0.8333333333333334,967.4690771038968,958.6643992859372,0.611503422320689,1.006050362859099,0.9023023931476276,3.6666666666666665,1.6666666666666667,1.0,
17/09/2022WolvesMan City,Wolves,Man City,17/09/2022,1.58,2.39,1.34,9.25,6.0,15.0,2.0,1.0,1.0,0.0,1.0,0.5,3.333333333333333,0.6666666666666666,1.0,0.4,3.6,0.4,1.2,3.5,0.6666666666666666,3.6666666666666665,0.1666666666666666,0.6666666666666666,996.3708496720808,1345.8508966554675,0.1667529953105415,0.7751885319772702,1.5055338888729348,0.3333333333333333,1.0,1.0,
17/09/2022NewcastleBournemouth,Newcastle,Bournemouth,17/09/2022,1.82,2.01,7.39,1.47,6.0,11.0,14.0,0.0,3.0,0.0,2.0,1.1666666666666667,0.8333333333333334,1.0,3.0,1.0,0.6,1.2,3.6,3.333333333333333,0.6666666666666666,1.0,0.3333333333333333,0.6666666666666666,1120.6977138309576,955.1506773287936,0.7950954219753806,0.9261320794760414,1.2294962745124154,1.0,3.6666666666666665,0.0,
17/09/2022TottenhamLeicester,Tottenham,Leicester,17/09/2022,1.59,2.39,6.7,1.49,6.0,3.0,20.0,2.0,2.0,1.0,5.0,2.0,1.3333333333333333,0.8333333333333334,2.6666666666666665,1.6,1.2,0.8,2.8,4.166666666666667,1.6666666666666667,1.0,0.5,0.8333333333333334,1224.0276921055724,989.0022635962991,0.8526913394064823,1.1292860341105366,1.2895722548528323,0.6666666666666666,2.6666666666666665,1.0,
18/09/2022BrentfordArsenal,Brentford,Arsenal,18/09/2022,1.68,2.21,1.81,4.3,6.0,9.0,3.0,5.0,1.0,2.0,3.0,2.5,2.333333333333333,1.5,1.1666666666666667,2.6,2.4,1.4,1.4,2.5,2.333333333333333,1.6666666666666667,0.6666666666666666,0.8333333333333334,1042.7935861926617,1190.7247758426547,0.3896917800840853,1.1999572385869242,1.1857332086115306,1.3333333333333333,1.6666666666666667,1.0,
18/09/2022EvertonWest Ham,Everton,West Ham,18/09/2022,2.03,1.8,2.5,2.95,6.0,17.0,18.0,0.0,1.0,0.0,2.0,0.6666666666666666,0.5,1.0,1.3333333333333333,0.8,0.6,1.0,1.2,2.1666666666666665,0.6666666666666666,1.0,0.1666666666666666,0.1666666666666666,990.1131902208384,1030.204042413357,0.5429367122833743,0.9672892882361376,0.9784093582769148,0.6666666666666666,1.0,0.0,
01/10/2022ArsenalTottenham,Arsenal,Tottenham,01/10/2022,1.71,2.16,3.48,2.08,7.0,1.0,3.0,3.0,6.0,0.0,2.0,2.4285714285714284,2.571428571428572,1.0,1.0,2.2,2.4,1.0,0.8,2.833333333333333,2.0,3.0,0.8571428571428571,0.5714285714285714,1206.3124470460182,1229.9200385293132,0.566370056915541,1.176448329969992,1.1968938806680471,1.3333333333333333,1.3333333333333333,1.0,
01/10/2022BournemouthBrentford,Bournemouth,Brentford,01/10/2022,1.99,1.84,2.21,3.36,7.0,12.0,9.0,1.0,0.0,1.0,3.0,0.8571428571428571,2.142857142857143,2.7142857142857144,1.7142857142857142,0.8,1.8,3.0,2.0,0.0,1.3333333333333333,2.0,0.5714285714285714,0.7142857142857143,966.9544942078088,1027.205914989298,0.5140256526884216,1.211211844627758,1.1905609787416245,1.0,2.0,0.0,
01/10/2022Crystal PalaceChelsea,Crystal Palace,Chelsea,01/10/2022,2.04,1.79,1.9,4.29,6.0,16.0,7.0,0.0,2.0,0.0,1.0,1.1666666666666667,1.3333333333333333,1.5,1.5,1.4,1.4,1.4,1.8,2.9166666666666665,1.0,1.6666666666666667,0.3333333333333333,0.8333333333333334,1067.9625331807215,1151.5507976874424,0.4804548798658795,0.9175546324489464,1.0767174225736666,1.6666666666666667,1.3333333333333333,1.0,
01/10/2022FulhamNewcastle,Fulham,Newcastle,01/10/2022,1.88,1.94,2.37,3.04,7.0,6.0,10.0,3.0,1.0,2.0,1.0,1.7142857142857142,1.1428571428571428,1.5714285714285714,1.0,2.0,1.2,1.8,1.4,2.0,2.0,0.6666666666666666,0.8571428571428571,0.2857142857142857,983.1245361787646,1108.8938969519425,0.4204237146544561,0.956585875878112,0.9123591243055778,1.6666666666666667,1.0,1.0,
01/10/2022LiverpoolBrighton,Liverpool,Brighton,01/10/2022,1.56,2.46,8.25,1.37,6.0,8.0,4.0,0.0,5.0,0.0,2.0,2.5,1.8333333333333333,1.0,0.8333333333333334,2.6,1.8,0.8,0.8,2.8,3.6666666666666665,2.333333333333333,0.6666666666666666,0.5,1293.4856747510978,1118.9135977065616,0.8034297767427068,1.1818646686232814,0.94212860676905,0.3333333333333333,1.3333333333333333,1.0,
01/10/2022SouthamptonEverton,Southampton,Everton,01/10/2022,2.0,1.83,3.44,2.19,7.0,15.0,13.0,0.0,1.0,1.0,0.0,1.0,0.7142857142857143,1.5714285714285714,0.8571428571428571,0.8,0.8,1.0,0.6,2.583333333333333,0.6666666666666666,0.6666666666666666,0.5714285714285714,0.1428571428571428,957.3654824291192,1008.3957217295036,0.5272725848343999,1.1092224574559857,0.9393661655089832,1.0,0.3333333333333333,1.0,
01/10/2022West HamWolves,West Ham,Wolves,01/10/2022,2.16,1.71,4.12,1.96,7.0,18.0,17.0,0.0,0.0,1.0,3.0,0.4285714285714285,0.4285714285714285,1.2857142857142858,1.0,0.6,0.4,1.2,1.0,2.375,0.6666666666666666,0.3333333333333333,0.1428571428571428,0.2857142857142857,1011.921510904692,989.7007298596592,0.6296849509614274,0.950165228086678,0.7762820774326704,1.3333333333333333,1.0,0.0,
02/10/2022Man CityMan United,Man City,Man United,02/10/2022,1.44,2.79,8.0,1.35,6.5,2.0,6.0,3.0,3.0,0.0,1.0,3.2857142857142856,1.3333333333333333,0.8571428571428571,1.3333333333333333,3.4,1.4,1.2,1.2,2.583333333333333,3.333333333333333,1.6666666666666667,0.7142857142857143,0.6666666666666666,1352.5210164678897,1137.308568677979,0.8377817299236046,1.507657720269058,1.0860213370795886,0.3333333333333333,0.3333333333333333,1.0,
