"GameIndex","HomeTeam","AwayTeam","Date","AvgO25","AvgU25","AvgH","AvgA","AvgD","Played","TG","HtPos","AtPos","HtSGLG","AtSGLG","HtCGLG","AtCGLG","HtASGPG","AtASGPG","HtACGPG","AtACGPG","HtASGP5G","AtASGP5G","HtACGP5G","AtACGP5G","AGTM","HtASGP3G","AtASGP3G","HtACGP3G","AtACGP3G","HtpercentGO","AtpercentGO","FTR","elo_ht","elo_at","win_e_ht","tilt_ht","tilt_at"
"27/08/2022FeyenoordFC Emmen","Feyenoord","FC Emmen","27/08/2022",1.47,2.63,1.26,10.26,6.04,3,4,2,11,1,3,0,2,2,1.66666666666667,0.666666666666667,2.33333333333333,2,1.66666666666667,0.666666666666667,2.33333333333333,4.16666666666667,2,1.66666666666667,0.666666666666667,2.33333333333333,0.333333333333333,0.666666666666667,"H",1207.7102144804,997.511755969487,0.833820780643262,1.157699585505,1.20862835044682
"27/08/2022HeerenveenFor Sittard","Heerenveen","For Sittard","27/08/2022",1.6,2.3,1.63,5.01,4.11,3,3,7,17,4,1,0,4,1.33333333333333,1,0,3.33333333333333,1.33333333333333,1,0,3.33333333333333,3.25,1.33333333333333,1,0,3.33333333333333,0.333333333333333,1,"H",1024.31769243308,932.441035957685,0.717447862986391,0.931214798983977,1.12086053114471
"28/08/2022UtrechtAjax","Utrecht","Ajax","28/08/2022",1.43,2.77,6.17,1.44,4.99,3,2,14,2,2,1,3,0,1.33333333333333,3.33333333333333,1.66666666666667,1,1.33333333333333,3.33333333333333,1.66666666666667,1,2.81818181818182,1.33333333333333,3.33333333333333,1.66666666666667,1,0.666666666666667,0.666666666666667,"A",996.817366808538,1365.19920789498,0.152177497857445,1.03487707918177,1.3620555505531
"28/08/2022ExcelsiorPSV Eindhoven","Excelsior","PSV Eindhoven","28/08/2022",1.3,3.46,8.89,1.28,6.13,2,7,5,4,3,5,1,2,2.5,4.5,0.5,1.5,2.5,4.5,0.5,1.5,3,2.5,4.5,0.5,1.5,0.5,1,"A",977.95570878438,1307.38708288898,0.18341087813964,1.23481349480158,1.50965297075454
"28/08/2022VolendamTwente","Volendam","Twente","28/08/2022",1.54,2.43,4.43,1.71,4.05,2,1,15,6,1,3,4,0,1.5,2,3,0,1.5,2,3,0,0,1.5,2,3,0,1,0.5,"H",971.369914746819,1197.29885376116,0.289544055199534,1.07959710624459,0.97673232759957
"28/08/2022CambuurAZ Alkmaar","Cambuur","AZ Alkmaar","28/08/2022",1.65,2.22,4.46,1.74,3.89,2.5,1,10,7,4,3,1,2,1.33333333333333,2.5,1,1,1.33333333333333,2.5,1,1,2,1.33333333333333,2.5,1,1,0.333333333333333,0.5,"A",954.6459374873,1174.24103369757,0.297101510606597,1.20498131970014,1.26003721216194
"31/08/2022PSV EindhovenVolendam","PSV Eindhoven","Volendam","31/08/2022",1.17,4.62,1.09,21.77,11.34,3,8,3,12,6,1,1,0,5,1.33333333333333,1.33333333333333,2,5,1.33333333333333,1.33333333333333,2,0,5,1.33333333333333,1.33333333333333,2,1,0.666666666666667,"H",1314.7235189076,999.788149650185,0.901665287896766,1.54754776795205,1.04609369000872
"31/08/2022TwenteExcelsior","Twente","Excelsior","31/08/2022",1.38,2.94,1.28,9.7,5.95,3,4,6,7,0,1,1,6,1.33333333333333,2,0.333333333333333,2.33333333333333,1.33333333333333,2,0.333333333333333,2.33333333333333,2.25,1.33333333333333,2,0.333333333333333,2.33333333333333,0.333333333333333,0.666666666666667,"H",1168.88061885779,970.619272765762,0.824079696962918,0.946421140645362,1.26580936462646
"01/09/2022AZ AlkmaarNijmegen","AZ Alkmaar","Nijmegen","01/09/2022",1.63,2.25,1.47,6.46,4.46,3,2,5,9,1,1,0,1,2,1.66666666666667,0.666666666666667,1,2,1.66666666666667,0.666666666666667,1,2.75,2,1.66666666666667,0.666666666666667,1,0.333333333333333,0.333333333333333,"D",1186.12509430406,942.697945097422,0.858663312796389,1.21363311923125,0.9664431656104
"02/09/2022For SittardUtrecht","For Sittard","Utrecht","02/09/2022",1.57,2.36,3.07,2.17,3.72,4,7,18,15,1,0,2,2,1,1,3,1.75,1,1,3,1.75,2.85714285714286,0.666666666666667,0.666666666666667,3,1.66666666666667,1,0.5,"A",921.138948445535,990.73026811483,0.500588022397029,1.12924947030093,1.01250060306843
