GameIndex,HomeTeam,AwayTeam,Date,AvgO25,AvgU25,AvgA,AvgH,Played,HtPos,AtPos,HtSGLG,AtSGLG,HtCGLG,AtCGLG,HtASGPG,AtASGPG,HtACGPG,AtACGPG,HtASGP5G,AtASGP5G,HtACGP5G,AtACGP5G,AGTM,HtASGP3G,AtASGP3G,HtpercentGO,AtpercentGO,elo_ht,elo_at,win_e_ht,tilt_ht,tilt_at,OvUn25
10/09/17VillarrealBetis,Villarreal,Betis,10/09/17,2.02,1.8,4.33,1.88,2.0,19,12,0,2,3,1,0.0,1.0,2.0,1.5,0.0,1.0,2.0,1.5,1.5,0.0,1.0,0.5,0.5,1053.7666501983804,927.3218960064399,0.7559914694741824,0.9250289843055929,1.0520549369003411,1
11/09/17MalagaLas Palmas,Malaga,Las Palmas,11/09/17,1.88,1.93,3.7,2.0,2.0,18,20,0,1,1,5,0.0,0.5,1.0,3.0,0.0,0.5,1.0,3.0,2.0,0.0,0.5,0.0,0.5,957.5394018299186,848.4412574555797,0.7371042549013253,0.9423852885159303,1.2841278808125323,1
15/09/17EibarLeganes,Eibar,Leganes,15/09/17,2.42,1.55,3.86,2.09,3.0,15,5,0,1,3,2,0.3333333333333333,1.0,1.3333333333333333,0.6666666666666666,0.3333333333333333,1.0,1.3333333333333333,0.6666666666666666,2.0,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,980.0920874354744,943.512744228108,0.648743346840088,0.9503426021519004,0.8933835390969797,0
16/09/17Ath MadridMalaga,Ath Madrid,Malaga,16/09/17,1.73,2.1,14.28,1.23,3.0,7,20,0,1,0,3,2.3333333333333335,0.3333333333333333,1.0,1.6666666666666667,2.3333333333333335,0.3333333333333333,1.0,1.6666666666666667,4.0,2.3333333333333335,0.3333333333333333,0.6666666666666666,0.3333333333333333,1167.7453743098038,928.0552316338656,0.8560323769907958,0.966420587655765,0.9575651153219042,0
16/09/17BetisLa Coruna,Betis,La Coruna,16/09/17,1.87,1.93,4.28,1.87,3.0,15,17,1,2,3,4,1.0,1.3333333333333333,2.0,3.0,1.0,1.3333333333333333,2.0,3.0,1.0,1.0,1.3333333333333333,0.6666666666666666,1.0,917.5615547854072,899.3093730352109,0.6243422943840675,1.085935966625909,1.0745524643440976,1
16/09/17GetafeBarcelona,Getafe,Barcelona,16/09/17,1.39,2.93,1.24,11.38,3.0,11,1,2,5,1,0,0.6666666666666666,3.0,0.6666666666666666,0.0,0.6666666666666666,3.0,0.6666666666666666,0.0,0.0,0.6666666666666666,3.0,0.3333333333333333,0.3333333333333333,1009.8997562976756,1262.5038990031076,0.25900357380025624,0.9431600452283131,1.5085248442825754,1
16/09/17LevanteValencia,Levante,Valencia,16/09/17,2.04,1.78,2.37,3.11,3.0,9,10,1,0,1,0,1.3333333333333333,1.0,1.0,0.6666666666666666,1.3333333333333333,1.0,1.0,0.6666666666666666,0.0,1.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,1024.9536740115504,1009.7804972552805,0.6201762112049576,0.9808360206791072,1.0448275646946608,0
17/09/17AlavesVillarreal,Alaves,Villarreal,17/09/17,2.35,1.59,2.41,3.13,3.0,19,15,0,3,1,1,0.0,1.0,1.3333333333333333,1.6666666666666667,0.0,1.0,1.3333333333333333,1.6666666666666667,2.5,0.0,1.0,0.0,0.6666666666666666,991.5851992277726,1063.526991419413,0.49720556549933914,0.8082286042108275,0.9548191914658853,1
17/09/17GironaSevilla,Girona,Sevilla,17/09/17,1.85,1.96,2.29,3.15,3.0,13,4,0,3,2,0,1.0,1.6666666666666667,1.3333333333333333,0.3333333333333333,1.0,1.6666666666666667,1.3333333333333333,0.3333333333333333,0.0,1.0,1.6666666666666667,0.3333333333333333,0.3333333333333333,1006.7658389164274,1106.0447846993022,0.4579636726422309,0.9980067753005111,1.094717250273541,0
17/09/17Las PalmasAth Bilbao,Las Palmas,Ath Bilbao,17/09/17,1.92,1.88,2.56,2.76,3.0,16,5,3,2,1,0,1.3333333333333333,1.0,2.3333333333333335,0.0,1.3333333333333333,1.0,2.3333333333333335,0.0,5.0,1.3333333333333333,1.0,0.6666666666666666,0.0,877.9254276516327,1088.4372173722804,0.30813542003293365,1.3048124554392795,0.9077390664216709,0
17/09/17SociedadReal Madrid,Sociedad,Real Madrid,17/09/17,1.45,2.7,1.67,4.72,3.0,2,11,4,1,2,1,3.3333333333333335,2.0,1.3333333333333333,1.0,3.3333333333333335,2.0,1.3333333333333333,1.0,3.0,3.3333333333333335,2.0,1.0,0.6666666666666666,1101.6428923507508,1216.12036571347,0.4363391537020399,1.2013981590390803,1.4270828225549803,1
18/09/17EspanolCelta,Espanol,Celta,18/09/17,2.06,1.75,3.14,2.33,3.0,17,16,0,1,5,0,0.3333333333333333,1.3333333333333333,2.3333333333333335,1.6666666666666667,0.3333333333333333,1.3333333333333333,2.3333333333333335,1.6666666666666667,3.0,0.3333333333333333,1.3333333333333333,0.3333333333333333,0.6666666666666666,993.8065677248355,906.9446303561018,0.7115594347211491,0.9220423770959943,1.1686096658294365,1
19/09/17BarcelonaEibar,Barcelona,Eibar,19/09/17,1.24,3.95,21.12,1.11,4.0,1,12,2,1,1,0,2.75,0.5,0.25,1.0,2.75,0.5,0.25,1.0,5.0,3.0,0.3333333333333333,0.5,0.25,1272.8640419551177,994.1423535618708,0.8815721990713912,1.4967145284465362,0.925212273596767,1
19/09/17ValenciaMalaga,Valencia,Malaga,19/09/17,1.81,2.01,6.27,1.54,4.0,8,19,1,0,1,1,1.0,0.25,0.75,1.5,1.0,0.25,0.75,1.5,3.0,1.0,0.3333333333333333,0.25,0.25,1014.5875457034788,922.2965267134974,0.7179310932218046,1.0333677229825209,0.9303817829209183,1
20/09/17Ath BilbaoAth Madrid,Ath Bilbao,Ath Madrid,20/09/17,2.39,1.57,2.26,3.39,4.0,7,5,0,1,1,0,0.75,2.0,0.25,0.75,0.75,2.0,0.25,0.75,4.0,1.0,2.0,0.0,0.5,1060.7626341735977,1173.504079230172,0.43879854321432726,0.8776799864027063,0.938985866347469,1
