GameIndex,HomeTeam,AwayTeam,Date,AvgO25,AvgU25,AvgA,AvgH,Played,HtPos,AtPos,HtSGLG,AtSGLG,HtCGLG,AtCGLG,HtASGPG,AtASGPG,HtACGPG,AtACGPG,HtASGP5G,AtASGP5G,HtACGP5G,AtACGP5G,AGTM,HtASGP3G,AtASGP3G,HtpercentGO,AtpercentGO,elo_ht,elo_at,win_e_ht,tilt_ht,tilt_at
26/09/2020GillinghamBlackpool,Gillingham,Blackpool,26/09/2020,2.15,1.68,2.28,3.04,2.0,14,9,3,2,2,0,1.5,1.0,2.0,0.5,1.5,1.0,2.0,0.5,3.0,1.5,1.0,0.5,0.0,1000.4375825142322,1001.7998418362301,0.5975123635552555,1.041510101010101,0.9603349514563106
26/09/2020IpswichRochdale,Ipswich,Rochdale,26/09/2020,1.68,2.15,6.94,1.44,2.0,1,21,2,0,0,0,2.0,0.5,0.0,1.5,2.0,0.5,0.0,1.5,1.0,2.0,0.5,0.0,0.5,1039.329501611989,980.6704983880111,0.6771315838424042,0.9809040404040404,0.9784999999999999
26/09/2020NorthamptonHull,Northampton,Hull,26/09/2020,1.82,1.97,2.09,3.32,2.0,6,2,2,1,1,0,2.0,1.5,1.5,0.0,2.0,1.5,1.5,0.0,0.0,2.0,1.5,1.0,0.0,1020.4375825142322,1037.4353886108095,0.5756900373081846,1.041657894736842,0.9607020202020202
26/09/2020PlymouthShrewsbury,Plymouth,Shrewsbury,26/09/2020,2.05,1.75,2.98,2.31,2.0,7,19,4,1,4,2,2.5,0.5,2.0,1.0,2.5,0.5,2.0,1.0,2.5,2.5,0.5,0.5,0.5,1019.3295016119889,979.5624174857678,0.6529133872551939,1.0768398058252426,0.960752427184466
26/09/2020PortsmouthWigan,Portsmouth,Wigan,26/09/2020,1.76,2.03,5.36,1.58,2.0,17,23,0,2,0,3,0.0,1.0,0.0,2.5,0.0,1.0,0.0,2.5,2.5,0.0,1.0,0.0,0.5,999.3295016119889,959.5624174857678,0.6529133872551939,0.9025,1.041510101010101
26/09/2020SunderlandPeterboro,Sunderland,Peterboro,26/09/2020,2.0,1.79,3.59,2.01,2.0,5,15,2,2,0,1,1.5,1.0,0.5,1.5,1.5,1.0,0.5,1.5,3.0,1.5,1.0,0.0,0.5,1019.3295016119889,1001.7998418362301,0.6233663033075449,0.9809040404040404,0.9999059405940595
26/09/2020SwindonBurton,Swindon,Burton,26/09/2020,1.89,1.89,2.99,2.33,2.0,13,10,0,2,2,1,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,0.0,1.5,1.5,0.5,1.0,998.2001581637699,1001.7998418362301,0.5944110671834684,1.0197371134020619,1.0201060606060606
27/09/2020LincolnCharlton,Lincoln,Charlton,27/09/2020,2.03,1.77,3.06,2.37,2.0,5,11,2,1,1,3,2.0,1.5,0.5,1.5,2.0,1.5,0.5,1.5,0.0,2.0,1.5,0.5,0.5,1039.329501611989,998.4821049550916,0.6543213279431791,1.0011060606060607,1.0213080808080808
03/10/2020AFC WimbledonAccrington,AFC Wimbledon,Accrington,03/10/2020,1.8,1.98,2.77,2.5,3.0,8,15,1,1,0,4,2.3333333333333335,1.3333333333333333,2.0,2.0,2.3333333333333335,1.3333333333333333,2.0,2.0,2.5,2.3333333333333335,1.3333333333333333,0.6666666666666666,0.6666666666666666,1024.5095947727316,972.2006016033704,0.6690888964723153,1.1058818354341995,1.0518574149924864
03/10/2020BlackpoolLincoln,Blackpool,Lincoln,03/10/2020,2.2,1.65,3.58,2.09,3.0,11,3,0,2,2,0,0.6666666666666666,2.0,1.0,0.3333333333333333,0.6666666666666666,2.0,1.0,0.3333333333333333,2.0,0.6666666666666666,2.0,0.0,0.3333333333333333,985.7003363784404,1053.1566484942618,0.5036605957225301,0.9507239763874835,0.9902162168056025
03/10/2020Bristol RvsNorthampton,Bristol Rvs,Northampton,03/10/2020,1.93,1.85,3.05,2.29,3.0,24,10,1,0,4,2,0.6666666666666666,1.3333333333333333,2.3333333333333335,1.6666666666666667,0.6666666666666666,1.3333333333333333,2.3333333333333335,1.6666666666666667,4.5,0.6666666666666666,1.3333333333333333,0.3333333333333333,0.6666666666666666,966.8433515057383,997.4099810219049,0.5565067523140669,1.0297724864584505,1.0312112193051166
03/10/2020BurtonPortsmouth,Burton,Portsmouth,03/10/2020,1.98,1.81,2.14,3.4,3.0,16,20,2,1,4,2,1.6666666666666667,0.3333333333333333,2.3333333333333335,0.6666666666666666,1.6666666666666667,0.3333333333333333,2.3333333333333335,0.6666666666666666,3.6666666666666665,1.6666666666666667,0.3333333333333333,1.0,0.3333333333333333,985.5762845235689,973.2129661217812,0.616358765049552,1.0867781456230106,0.9149836587559826
03/10/2020CharltonSunderland,Charlton,Sunderland,03/10/2020,2.14,1.69,2.07,3.53,3.0,17,5,0,1,2,0,1.0,1.3333333333333333,1.6666666666666667,0.3333333333333333,1.0,1.3333333333333333,1.6666666666666667,0.3333333333333333,2.5,1.0,1.3333333333333333,0.3333333333333333,0.0,984.6549580728188,1034.394849479687,0.5291236364530292,1.0101984832241717,0.9518607197489173
03/10/2020HullPlymouth,Hull,Plymouth,03/10/2020,1.75,2.05,4.03,1.81,3.0,2,9,2,1,0,1,1.6666666666666667,2.0,0.0,1.6666666666666667,1.6666666666666667,2.0,0.0,1.6666666666666667,0.0,1.6666666666666667,2.0,0.0,0.3333333333333333,1060.462990103137,1013.2129661217812,0.6626096295373607,0.9510672425630634,1.0646318503469052
03/10/2020Milton Keynes DonsIpswich,Milton Keynes Dons,Ipswich,03/10/2020,2.14,1.68,2.07,3.57,3.0,22,1,0,2,2,0,0.6666666666666666,2.0,1.6666666666666667,0.0,0.6666666666666666,2.0,1.6666666666666667,0.0,1.0,0.6666666666666666,2.0,0.3333333333333333,0.0,963.6357454443188,1052.2442382582929,0.47324580384768417,0.9926869768808744,0.9727377346536391
03/10/2020PeterboroSwindon,Peterboro,Swindon,03/10/2020,1.75,2.05,4.18,1.77,3.0,18,6,0,4,1,2,0.6666666666666666,2.3333333333333335,1.3333333333333333,1.6666666666666667,0.6666666666666666,2.3333333333333335,1.3333333333333333,1.6666666666666667,2.5,0.6666666666666666,2.3333333333333335,0.3333333333333333,0.6666666666666666,986.734493968532,1014.4237154764311,0.5605908712722613,0.9702999978499824,1.0863850847701455
03/10/2020RochdaleFleetwood Town,Rochdale,Fleetwood Town,03/10/2020,1.85,1.93,1.83,4.02,3.0,23,13,0,0,2,1,0.3333333333333333,1.0,1.6666666666666667,1.3333333333333333,0.3333333333333333,1.0,1.6666666666666667,1.3333333333333333,2.875,0.3333333333333333,1.0,0.3333333333333333,0.6666666666666666,967.7557617417073,974.3610617790494,0.5902331352113291,0.9703537085712519,0.986591707812201
03/10/2020ShrewsburyGillingham,Shrewsbury,Gillingham,03/10/2020,2.3,1.6,3.01,2.36,3.0,21,7,1,2,1,0,0.6666666666666666,1.6666666666666667,1.0,1.3333333333333333,0.6666666666666666,1.6666666666666667,1.0,1.3333333333333333,2.75,0.6666666666666666,1.6666666666666667,0.3333333333333333,0.3333333333333333,985.6789529759756,1016.5370879720219,0.5560925610345823,0.9498605351933596,1.0310867298732285
03/10/2020WiganDoncaster,Wigan,Doncaster,03/10/2020,1.76,2.03,2.4,2.78,3.0,19,4,2,4,1,1,1.3333333333333333,2.6666666666666665,2.0,1.0,1.3333333333333333,2.6666666666666665,2.0,1.0,2.0,1.3333333333333333,2.6666666666666665,0.6666666666666666,0.6666666666666666,985.6789529759756,1035.3450419271812,0.5292294850688318,1.0559165904194299,1.0721894481958067
