GameIndex,HomeTeam,AwayTeam,Date,AvgO25,AvgU25,AvgA,AvgH,Played,HtPos,AtPos,HtSGLG,AtSGLG,HtCGLG,AtCGLG,HtASGPG,AtASGPG,HtACGPG,AtACGPG,HtASGP5G,AtASGP5G,HtACGP5G,AtACGP5G,AGTM,HtASGP3G,AtASGP3G,HtpercentGO,AtpercentGO,elo_ht,elo_at,win_e_ht,tilt_ht,tilt_at
02/09/2018LevanteValencia,Levante,Valencia,02/09/2018,1.82,1.99,2.09,3.51,2.0,12,15,1,0,2,2,2.0,0.5,1.0,1.5,2.0,0.5,1.0,1.5,3.0,2.0,0.5,1.0,0.0,1037.006718418266,1086.9860226979613,0.5287802488505438,1.1163717313909938,0.9564221492817686
14/09/2018HuescaVallecano,Huesca,Vallecano,14/09/2018,1.85,1.96,3.28,2.2,2.5,14,20,2,0,8,1,2.0,0.5,3.6666666666666665,2.5,2.0,0.5,3.6666666666666665,2.5,0.0,2.0,0.5,1.0,0.5,1021.7132187446076,972.5723738980369,0.6650386112489775,1.1398125684603562,1.0110251073663443
15/09/2018Ath BilbaoReal Madrid,Ath Bilbao,Real Madrid,15/09/2018,1.48,2.59,1.57,5.47,2.5,6,2,2,4,2,1,2.0,3.3333333333333335,1.5,0.6666666666666666,2.0,3.3333333333333335,1.5,0.6666666666666666,2.0,2.0,3.3333333333333335,1.0,0.6666666666666666,974.3528969657435,1227.470731436511,0.25843645966706996,1.0340488750033763,1.519326175226945
15/09/2018Ath MadridEibar,Ath Madrid,Eibar,15/09/2018,2.03,1.79,10.12,1.37,3.0,10,15,0,2,2,1,0.6666666666666666,1.0,1.0,1.6666666666666667,0.6666666666666666,1.0,1.0,1.6666666666666667,2.0,0.6666666666666666,1.0,0.0,0.6666666666666666,1160.7915441382645,1003.0880222033927,0.7876414473438967,0.835607024259195,0.9322203963945285
15/09/2018SociedadBarcelona,Sociedad,Barcelona,15/09/2018,1.44,2.72,1.42,6.8,3.0,9,1,1,8,2,2,1.6666666666666667,4.0,1.6666666666666667,0.6666666666666666,1.6666666666666667,4.0,1.6666666666666667,0.6666666666666666,3.5,1.6666666666666667,4.0,1.0,0.6666666666666666,1012.2828568491589,1311.347661524162,0.21105080986516933,1.2063875688268124,1.4835221906554361
15/09/2018ValenciaBetis,Valencia,Betis,15/09/2018,1.71,2.13,4.65,1.75,3.0,18,12,2,1,2,0,1.0,0.3333333333333333,1.6666666666666667,1.0,1.0,0.3333333333333333,1.6666666666666667,1.0,4.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1088.1372326519831,1049.5357173104294,0.6513913292017346,0.9802617599732002,1.0555961897815385
16/09/2018EspanolLevante,Espanol,Levante,16/09/2018,1.95,1.85,4.66,1.78,3.0,9,7,1,2,2,2,1.3333333333333333,2.0,1.0,1.3333333333333333,1.3333333333333333,2.0,1.0,1.3333333333333333,1.0,1.3333333333333333,2.0,0.3333333333333333,1.0,1036.791387387177,1035.8555084642442,0.600689713731366,0.8380194611344827,1.1441982173033773
16/09/2018LeganesVillarreal,Leganes,Villarreal,16/09/2018,2.36,1.59,2.53,3.02,3.0,20,19,1,0,4,1,1.3333333333333333,0.3333333333333333,2.6666666666666665,1.0,1.3333333333333333,0.3333333333333333,2.6666666666666665,1.0,2.5,1.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,912.4824443743651,1034.56831799939,0.4255989461854394,0.9933617535156232,1.032684326465182
16/09/2018SevillaGetafe,Sevilla,Getafe,16/09/2018,1.9,1.9,6.25,1.56,3.0,8,10,0,0,1,0,1.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.5,1.3333333333333333,0.6666666666666666,0.3333333333333333,0.0,1058.9513188654676,1048.3780213620335,0.6139193267831698,1.0614979576294208,0.7005650133018345
16/09/2018ValladolidAlaves,Valladolid,Alaves,16/09/2018,2.55,1.5,3.71,2.21,3.0,18,12,0,2,0,1,0.0,0.6666666666666666,0.3333333333333333,1.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,1.3333333333333333,0.0,0.0,0.6666666666666666,0.0,0.6666666666666666,1001.8669092816083,1021.227363739921,0.5723644578342864,0.8708542724962037,0.9097850791039219
17/09/2018GironaCelta,Girona,Celta,17/09/2018,1.88,1.91,2.93,2.41,3.0,15,3,1,2,0,0,0.6666666666666666,1.6666666666666667,1.3333333333333333,0.6666666666666666,0.6666666666666666,1.6666666666666667,1.3333333333333333,0.6666666666666666,3.5,0.6666666666666666,1.6666666666666667,0.3333333333333333,0.3333333333333333,1001.3039274764799,1048.4141509651256,0.5328934593480947,1.0411621440480034,1.155076758098833
21/09/2018HuescaSociedad,Huesca,Sociedad,21/09/2018,2.04,1.78,2.1,3.62,4.0,16,13,0,1,1,2,1.5,1.5,3.0,1.75,1.5,1.5,3.0,1.75,0.0,1.3333333333333333,1.3333333333333333,0.75,1.0,995.1116742946485,1003.840824454552,0.5872729837025278,1.1026038424394444,1.1865124792393453
22/09/2018CeltaValladolid,Celta,Valladolid,22/09/2018,2.02,1.79,5.18,1.73,4.0,3,19,2,0,3,1,1.75,0.0,1.25,0.5,1.75,0.0,1.25,0.5,0.0,2.0,0.0,0.5,0.0,1029.7298893390494,978.9723309682369,0.6671085653204307,1.1933694395296823,0.8492947727747241
22/09/2018EibarLeganes,Eibar,Leganes,22/09/2018,2.44,1.55,3.95,2.06,4.0,15,20,1,0,1,1,1.0,1.0,1.5,2.25,1.0,1.0,1.5,2.25,1.5,1.0,1.0,0.5,0.75,1014.5936800971485,895.4584865269475,0.7481462075729479,0.933478768332802,0.9630606684053392
22/09/2018GetafeAth Madrid,Getafe,Ath Madrid,22/09/2018,2.68,1.45,1.86,5.04,4.0,5,10,2,1,0,1,1.0,0.75,0.5,1.0,1.0,0.75,0.5,1.0,1.5,1.3333333333333333,0.6666666666666666,0.0,0.0,1072.9347944333601,1149.2858862445087,0.49086106208807523,0.7032193598687992,0.8367349811616817
22/09/2018Real MadridEspanol,Real Madrid,Espanol,22/09/2018,1.38,2.94,14.36,1.2,4.0,2,4,1,1,1,0,2.75,1.25,0.75,0.75,2.75,1.25,0.75,0.75,1.75,3.0,1.3333333333333333,0.5,0.25,1217.8081898231937,1052.7637988379224,0.7946236207099244,1.4820427575425492,0.8135979769438884
22/09/2018VallecanoAlaves,Vallecano,Alaves,22/09/2018,2.08,1.74,3.55,2.12,3.5,18,7,1,1,0,0,0.6666666666666666,0.75,1.6666666666666667,1.0,0.6666666666666666,0.75,1.6666666666666667,1.0,0.0,0.6666666666666666,1.0,0.3333333333333333,0.5,999.1739183479959,1044.1219420532925,0.5359903400920913,0.978020596571142,0.8872617801100218
