GameIndex,HomeTeam,AwayTeam,Date,AvgO25,AvgU25,AvgA,AvgH,Played,HtPos,AtPos,HtSGLG,AtSGLG,HtCGLG,AtCGLG,HtASGPG,AtASGPG,HtACGPG,AtACGPG,HtASGP5G,AtASGP5G,HtACGP5G,AtACGP5G,AGTM,HtASGP3G,AtASGP3G,HtpercentGO,AtpercentGO,elo_ht,elo_at,win_e_ht,tilt_ht,tilt_at,OvUn25
19/08/17MechelenAntwerp,Mechelen,Antwerp,19/08/17,1.87,1.9,3.62,1.98,3.0,12,10,1,3,1,5,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.6666666666666667,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.6666666666666667,0.0,1.3333333333333333,1.3333333333333333,0.3333333333333333,0.3333333333333333,1038.398558298648,1006.7256005887027,0.6422806441804789,1.0334924478296046,1.0319893613729008,1
19/08/17Waasland-BeverenLokeren,Waasland-Beveren,Lokeren,19/08/17,1.95,1.82,3.71,1.96,3.0,7,15,3,0,0,2,2.6666666666666665,0.0,1.6666666666666667,2.3333333333333335,2.6666666666666665,0.0,1.6666666666666667,2.3333333333333335,1.0,2.6666666666666665,0.0,1.0,0.3333333333333333,978.6253954302807,889.9514366172374,0.713695553023782,1.0325108765270417,0.7484266494784609,1
20/08/17AnderlechtSt Truiden,Anderlecht,St Truiden,20/08/17,1.61,2.24,9.55,1.29,3.0,10,7,0,1,2,0,0.3333333333333333,1.3333333333333333,0.6666666666666666,1.3333333333333333,0.3333333333333333,1.3333333333333333,0.6666666666666666,1.3333333333333333,2.0,0.3333333333333333,1.3333333333333333,0.0,0.3333333333333333,1132.6722982385195,976.7980617887138,0.7858748038400071,1.1167996352497687,1.0718979042704762,1
20/08/17KortrijkClub Brugge,Kortrijk,Club Brugge,20/08/17,1.76,2.02,1.78,4.18,3.0,5,3,2,2,1,1,1.0,3.0,0.6666666666666666,0.6666666666666666,1.0,3.0,0.6666666666666666,0.6666666666666666,4.5,1.0,3.0,0.3333333333333333,1.0,914.1181764464432,1149.9834555186808,0.277921070830935,1.0859500917551443,1.1234008414676304,1
20/08/17MouscronGent,Mouscron,Gent,20/08/17,1.96,1.81,1.83,4.18,3.0,6,15,2,1,0,1,1.6666666666666667,1.0,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.0,1.6666666666666667,1.6666666666666667,3.0,1.6666666666666667,1.0,0.3333333333333333,0.3333333333333333,920.3995196548894,1020.4759566169092,0.4568243245078154,1.116513236397918,0.9818235904836164,1
25/08/17KortrijkMouscron,Kortrijk,Mouscron,25/08/17,1.91,1.86,3.9,1.91,4.0,7,4,1,3,2,2,1.0,2.0,1.0,1.75,1.0,2.0,1.0,1.75,1.5,1.3333333333333333,2.3333333333333335,0.5,0.5,903.0013336132058,942.1265466745768,0.5443157982619496,1.0850618403789256,1.1625388653488447,0
26/08/17CharleroiWaregem,Charleroi,Waregem,26/08/17,1.89,1.87,3.38,2.1,4.0,2,4,1,4,0,0,2.25,3.0,0.5,0.5,2.25,3.0,0.5,0.5,2.5,2.6666666666666665,2.3333333333333335,0.25,0.75,1115.213954191479,1091.0190196909946,0.6323309339061118,0.8584200442534478,1.1690893714448691,1
26/08/17GenkMechelen,Genk,Mechelen,26/08/17,1.7,2.1,5.39,1.57,4.0,9,12,0,1,1,2,2.25,1.25,2.25,1.5,2.25,1.25,2.25,1.5,2.0,2.0,1.3333333333333333,0.75,0.5,1037.928560035019,1012.7073325314287,0.6337033567248659,1.1128015819034316,1.0399579596737907,0
26/08/17LokerenEupen,Lokeren,Eupen,26/08/17,1.77,2.0,3.21,2.16,4.0,13,14,3,2,2,1,0.75,1.0,2.25,2.75,0.75,1.0,2.25,2.75,3.5,1.0,1.3333333333333333,0.5,1.0,918.4992587381887,894.3512660536568,0.6322681088867432,0.8078565969991471,1.2392441532386989,1
26/08/17St TruidenWaasland-Beveren,St Truiden,Waasland-Beveren,26/08/17,1.83,1.94,4.51,1.75,4.0,5,8,3,2,2,3,1.75,2.5,1.5,2.0,1.75,2.5,1.5,2.0,4.5,1.3333333333333333,2.3333333333333335,0.5,1.0,1008.2330539423141,950.0775733093294,0.6764975739711279,1.1078445855794368,1.1144989607959541,0
