"GameIndex","HomeTeam","AwayTeam","Date","AvgO25","AvgU25","AvgH","AvgA","AvgD","Played","TG","HtPos","AtPos","HtSGLG","AtSGLG","HtCGLG","AtCGLG","HtASGPG","AtASGPG","HtACGPG","AtACGPG","HtASGP5G","AtASGP5G","HtACGP5G","AtACGP5G","AGTM","HtASGP3G","AtASGP3G","HtACGP3G","AtACGP3G","HtpercentGO","AtpercentGO","FTR","elo_ht","elo_at","win_e_ht","tilt_ht","tilt_at"
"30/08/2019ChievoEmpoli","Chievo","Empoli","30/08/2019",2.1,1.72,2.55,2.85,3.06,1,2,13,6,1,2,2,1,1,2,2,1,1,2,2,1,0,1,2,2,1,1,1,"D",983.912127992941,1199.99071668289,0.301346106044143,1.00413036462289,1.21015028780499
"31/08/2019BeneventoCittadella","Benevento","Cittadella","31/08/2019",2.11,1.71,1.82,4.68,3.25,1,5,9,19,0,0,0,3,0,0,0,3,0,0,0,3,1,0,0,0,3,0,1,"H",1070.67378862102,1008.73968421687,0.681239463927946,1.20956438198229,1.08259352573362
"31/08/2019SpeziaCrotone","Spezia","Crotone","31/08/2019",2.14,1.69,2.01,3.86,3.19,1,3,3,11,3,0,0,0,3,0,0,0,3,0,0,0,2.5,3,0,0,0,1,0,"A",1036.69762937305,1017.48873381093,0.625633086835385,1.07977968525786,0.85065452754369
"31/08/2019CosenzaSalernitana","Cosenza","Salernitana","31/08/2019",2.23,1.63,2.35,3.27,2.95,1,1,10,5,0,3,0,1,0,3,0,1,0,3,0,1,1.5,0,3,0,1,0,1,"A",1028.38106204951,896.511421098394,0.76170599198531,0.810029681505025,1.17631547259654
"31/08/2019CremoneseVirtus Entella","Cremonese","Virtus Entella","31/08/2019",2.1,1.71,1.77,5.03,3.3,1,1,6,8,2,1,1,0,2,1,1,0,2,1,1,0,1.5,2,1,1,0,1,0,"A",1057.67731691547,946.600454665563,0.739305469660569,0.813995632431078,0.786972765878961
"31/08/2019LivornoPerugia","Livorno","Perugia","31/08/2019",2.21,1.64,2.95,2.53,2.97,1,1,15,7,0,2,1,1,0,2,1,1,0,2,1,1,4.5,0,2,1,1,0,1,"A",973.312899776748,1014.93572170469,0.540747505060382,1.02301351103722,1.11301341302801
"31/08/2019TrapaniVenezia","Trapani","Venezia","31/08/2019",2.26,1.61,2.31,3.31,2.98,1,1,18,16,1,1,3,2,1,1,3,2,1,1,3,2,0,1,1,3,2,1,1,"A",937.266441831665,939.972392834013,0.595650721689891,1.04623718015937,1.01185130103796
"01/09/2019Juve StabiaPisa","Juve Stabia","Pisa","01/09/2019",2.44,1.53,2.14,3.76,2.97,1,2,15,12,1,0,2,0,1,0,2,0,1,0,2,0,0,1,0,2,0,1,0,"A",992.777955207303,899.816666338793,0.718711794729979,0.999558740804892,0.67820001498417
"01/09/2019PescaraPordenone","Pescara","Pordenone","01/09/2019",2.06,1.75,2.04,3.82,3.16,1,6,17,7,1,3,3,0,1,3,3,0,1,3,3,0,0,1,3,3,0,1,1,"H",993.082861464638,1020.90183025373,0.560406981163607,1.04648692929872,1.01138055666405
"01/09/2019FrosinoneAscoli","Frosinone","Ascoli","01/09/2019",1.94,1.85,1.77,4.8,3.37,1,3,18,8,0,3,3,1,0,3,3,1,0,3,3,1,2.25,0,3,3,1,1,1,"H",1064.77519670208,982.948551295107,0.705574042987781,0.988632829317109,1.11305605013922
"13/09/2019PordenoneSpezia","Pordenone","Spezia","13/09/2019",2.15,1.69,2.67,2.78,2.99,2,1,10,8,2,1,4,2,2.5,2,2,1,2.5,2,2,1,0,2.5,2,2,1,1,1,"H",1003.31810559826,1011.67230613897,0.58779604211632,1.07548090179704,1.09632462288363
"14/09/2019AscoliLivorno","Ascoli","Livorno","14/09/2019",2.31,1.59,2.15,3.67,3.02,2,2,9,17,1,0,2,1,2,0,1.5,1,2,0,1.5,1,1.5,2,0,1.5,1,1,0,"H",971.171515186604,951.683000828223,0.626009983356712,1.11809311976754,0.989832070865537
"14/09/2019CittadellaTrapani","Cittadella","Trapani","14/09/2019",2.07,1.74,1.82,4.63,3.29,2,2,20,19,1,0,4,1,0.5,0.5,3.5,2,0.5,0.5,3.5,2,3.5,0.5,0.5,3.5,2,1,0.5,"H",995.989262994198,913.440410246758,0.706437061916115,1.11113824155835,1.0136910712962
"14/09/2019PerugiaJuve Stabia","Perugia","Juve Stabia","14/09/2019",2.03,1.77,1.68,5.31,3.5,2,0,2,18,1,0,0,2,1.5,0.5,0.5,2,1.5,0.5,0.5,2,0,1.5,0.5,0.5,2,0.5,0.5,"D",1036.56562065321,964.029483936277,0.694343261295283,1.07691282630436,1.0085604544816
"14/09/2019Virtus EntellaFrosinone","Virtus Entella","Frosinone","14/09/2019",2.05,1.75,3.05,2.43,3.04,2,1,4,14,1,2,0,1,1,1,0,2,1,1,0,2,3.25,1,1,0,2,0,1,"H",976.172676214536,1076.55223281058,0.456391466573757,0.772194283987779,0.993106828984506
"14/09/2019VeneziaChievo","Venezia","Chievo","14/09/2019",2.29,1.6,2.73,2.74,2.95,2,2,13,15,1,1,0,1,1,1,1,1.5,1,1,1,1.5,0,1,1,1,1.5,0.5,0.5,"A",963.798424418919,991.858283202888,0.560065187985294,0.980374860302111,0.98697759219761
"15/09/2019CosenzaPescara","Cosenza","Pescara","15/09/2019",2.24,1.63,2.39,3.17,2.98,2,3,17,13,0,4,1,2,0,2.5,0.5,2.5,0,2.5,0.5,2.5,2,0,2.5,0.5,2.5,0,1,"A",997.912824837995,1010.66658612012,0.581646380986206,0.786530439146321,1.11281228319565
"15/09/2019CrotoneEmpoli","Crotone","Empoli","15/09/2019",2.05,1.76,2.61,2.81,3.03,2,0,9,10,2,1,1,1,1,1.5,0.5,1,1,1.5,0.5,1,0,1,1.5,0.5,1,0.5,0.5,"D",1042.51405704501,1192.04456147294,0.387504446473539,0.863688692097289,1.18947823841935
"15/09/2019PisaCremonese","Pisa","Cremonese","15/09/2019",2.44,1.53,2.79,2.7,2.92,2,5,7,12,2,0,0,1,1,1,0,1,1,1,0,1,0,1,1,0,1,0,0.5,"H",928.565137609818,1028.10509536649,0.457590664493986,0.684307672394591,0.79870969086492
"16/09/2019SalernitanaBenevento","Salernitana","Benevento","16/09/2019",2.14,1.69,2.77,2.68,2.97,2,2,5,10,1,4,0,1,2,2,0.5,0.5,2,2,0.5,0.5,2.5,2,2,0.5,0.5,0.5,0.5,"A",926.979658309904,1083.42420984369,0.378101423666689,1.14219015223855,1.24145693512868
"20/09/2019FrosinoneVenezia","Frosinone","Venezia","20/09/2019",2,1.8,1.64,5.62,3.55,3,2,15,13,0,0,1,2,0.666666666666667,0.666666666666667,1.66666666666667,1.33333333333333,0.666666666666667,0.666666666666667,1.66666666666667,1.33333333333333,2.5,0.666666666666667,0.666666666666667,1.66666666666667,1.33333333333333,0.666666666666667,0.333333333333333,"D",1054.80788824038,941.395814561162,0.741888043891405,0.969351705155017,0.971883886424029
"21/09/2019BeneventoCosenza","Benevento","Cosenza","21/09/2019",2.09,1.73,1.6,6.03,3.62,3,1,2,17,2,1,0,2,2,0.333333333333333,0.333333333333333,1,2,0.333333333333333,0.333333333333333,1,3,2,0.333333333333333,0.333333333333333,1,0.333333333333333,0.333333333333333,"H",1098.54826400015,974.646967429196,0.753280500486745,1.2144045268882,0.801121366615155
"21/09/2019CremoneseCrotone","Cremonese","Crotone","21/09/2019",2.23,1.63,2.2,3.42,3.09,3,3,15,9,1,0,4,0,1,0.666666666666667,2,0.333333333333333,1,0.666666666666667,2,0.333333333333333,0.5,1,0.666666666666667,2,0.333333333333333,0.666666666666667,0.333333333333333,"H",1006.40872436048,1047.01387942806,0.542201871865453,0.904907304099273,0.820504257492425
"21/09/2019EmpoliCittadella","Empoli","Cittadella","21/09/2019",1.98,1.82,1.72,5.11,3.43,3,1,10,16,0,2,0,0,1,1,0.666666666666667,2.33333333333333,1,1,0.666666666666667,2.33333333333333,1.5,1,1,0.666666666666667,2.33333333333333,0.333333333333333,0.666666666666667,"H",1187.54473908989,1007.73178277395,0.808150741228325,1.13000432649838,1.09504108317921
