GameIndex,HomeTeam,AwayTeam,Date,AvgO25,AvgU25,AvgA,AvgH,Played,HtPos,AtPos,HtSGLG,AtSGLG,HtCGLG,AtCGLG,HtASGPG,AtASGPG,HtACGPG,AtACGPG,HtASGP5G,AtASGP5G,HtACGP5G,AtACGP5G,AGTM,HtASGP3G,AtASGP3G,HtpercentGO,AtpercentGO,elo_ht,elo_at,win_e_ht,tilt_ht,tilt_at
17/10/2020MaritimoPortimonense,Maritimo,Portimonense,17/10/2020,2.23,1.64,3.06,2.42,3.0,5,16,3,0,2,2,1.6666666666666667,0.3333333333333333,1.6666666666666667,1.3333333333333333,1.6666666666666667,0.3333333333333333,1.6666666666666667,1.3333333333333333,3.5,1.6666666666666667,0.3333333333333333,0.6666666666666666,0.0,1037.9799828902921,930.9203119403451,0.7348240270797659,0.9107317890226716,0.9097492361981104
17/10/2020Sp BragaNacional,Sp Braga,Nacional,17/10/2020,1.68,2.17,7.71,1.38,3.0,12,6,4,0,0,0,1.6666666666666667,1.3333333333333333,1.3333333333333333,1.0,1.6666666666666667,1.3333333333333333,1.3333333333333333,1.0,3.25,1.6666666666666667,1.3333333333333333,0.6666666666666666,0.3333333333333333,1110.410235839373,861.6741742198806,0.862331632262055,1.2177609774817675,1.160285453828755
17/10/2020Sp LisbonPorto,Sp Lisbon,Porto,17/10/2020,2.12,1.71,2.09,3.53,2.5,4,3,2,2,0,3,2.0,3.3333333333333335,0.0,1.3333333333333333,2.0,3.3333333333333335,0.0,1.3333333333333333,2.125,2.0,3.3333333333333335,0.0,1.0,1172.1591542459666,1292.6998011785117,0.4277748932052965,0.9347225370331244,1.305090040340616
18/10/2020BelenensesMoreirense,Belenenses,Moreirense,18/10/2020,2.25,1.62,3.23,2.39,3.0,9,11,0,1,0,1,0.6666666666666666,1.0,0.6666666666666666,1.0,0.6666666666666666,1.0,0.6666666666666666,1.0,2.0,0.6666666666666666,1.0,0.3333333333333333,0.0,947.6297030385358,1022.4799976390292,0.4930203183881628,0.8924388839210888,0.9518000961197174
18/10/2020Pacos FerreiraSanta Clara,Pacos Ferreira,Santa Clara,18/10/2020,2.5,1.51,2.95,2.48,3.0,17,4,0,0,1,0,0.3333333333333333,1.0,1.3333333333333333,0.0,0.3333333333333333,1.0,1.3333333333333333,0.0,2.0,0.3333333333333333,1.0,0.0,0.0,972.0694416259414,1052.6095171484965,0.4848362635586762,1.0800165225892078,0.9206893354061708
18/10/2020FarenseFamalicao,Farense,Famalicao,18/10/2020,2.0,1.79,2.85,2.47,3.0,18,13,2,1,3,1,0.6666666666666666,1.3333333333333333,2.0,2.3333333333333335,0.6666666666666666,1.3333333333333333,2.0,2.3333333333333335,0.0,0.6666666666666666,1.3333333333333333,0.3333333333333333,0.6666666666666666,950.1095678078433,1071.2538858213727,0.4269244822517635,0.9865857319259823,1.221198008684926
18/10/2020Rio AveBenfica,Rio Ave,Benfica,18/10/2020,1.68,2.15,1.54,5.52,3.0,14,1,1,3,1,2,0.6666666666666666,3.3333333333333335,0.6666666666666666,1.0,0.6666666666666666,3.3333333333333335,0.6666666666666666,1.0,3.375,0.6666666666666666,3.3333333333333335,0.0,0.6666666666666666,1097.818018709978,1289.4086422330213,0.33182732821897515,0.9481782151456744,1.3295582448575818
19/10/2020BoavistaGuimaraes,Boavista,Guimaraes,19/10/2020,2.21,1.64,2.06,3.72,3.0,16,12,1,1,1,0,1.3333333333333333,0.3333333333333333,3.0,0.3333333333333333,1.3333333333333333,0.3333333333333333,3.0,0.3333333333333333,1.875,1.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,958.5775260613397,1052.4106386452688,0.46575509108458485,0.9475343753386953,0.921468051509857
23/10/2020TondelaPortimonense,Tondela,Portimonense,23/10/2020,2.3,1.61,2.14,3.47,4.0,16,14,1,2,1,1,0.75,0.75,2.0,1.25,0.75,0.75,2.0,1.25,3.3333333333333335,0.6666666666666666,0.6666666666666666,0.5,0.25,932.2799519877818,960.3132730235357,0.5601028858426147,0.963845404315287,0.9301428611397582
24/10/2020NacionalPacos Ferreira,Nacional,Pacos Ferreira,24/10/2020,2.32,1.59,2.73,2.6,4.0,11,14,1,2,2,1,1.25,0.75,1.25,1.25,1.25,0.75,1.25,1.25,2.0,0.6666666666666666,0.6666666666666666,0.5,0.25,856.1674395103628,992.6759910835943,0.4054387321611192,1.1515419338625976,1.0911842584193907
24/10/2020Santa ClaraSp Lisbon,Santa Clara,Sp Lisbon,24/10/2020,2.15,1.69,1.86,4.24,3.5,4,3,1,2,2,2,1.0,2.0,0.5,0.6666666666666666,1.0,2.0,0.5,0.6666666666666666,2.25,0.6666666666666666,2.0,0.25,0.3333333333333333,1032.0029676908434,1175.0481585177547,0.3964014369563047,0.930209574276992,0.9492848627994351
24/10/2020PortoGil Vicente,Porto,Gil Vicente,24/10/2020,1.61,2.29,12.26,1.23,3.5,2,8,2,1,2,1,3.0,0.6666666666666666,1.5,0.3333333333333333,3.0,0.6666666666666666,1.5,0.3333333333333333,3.0,3.0,0.6666666666666666,1.0,0.0,1289.8107969067237,1016.2579567953752,0.8784303338413864,1.3254224337181542,0.9643372638048388
25/10/2020FarenseRio Ave,Farense,Rio Ave,25/10/2020,2.12,1.7,2.22,3.23,4.0,18,16,3,0,3,3,1.25,0.5,2.25,1.25,1.25,0.5,2.25,1.25,0.0,1.6666666666666667,0.3333333333333333,0.5,0.25,953.0325885177728,1084.544925581219,0.4123901170656998,1.035520608181721,0.9458970753845587
