"GameIndex","HomeTeam","AwayTeam","Date","AvgO25","AvgU25","AvgH","AvgA","AvgD","Played","TG","HtPos","AtPos","HtSGLG","AtSGLG","HtCGLG","AtCGLG","HtASGPG","AtASGPG","HtACGPG","AtACGPG","HtASGP5G","AtASGP5G","HtACGP5G","AtACGP5G","AGTM","HtASGP3G","AtASGP3G","HtACGP3G","AtACGP3G","HtpercentGO","AtpercentGO","FTR","elo_ht","elo_at","win_e_ht","tilt_ht","tilt_at"
"19/08/17Milton Keynes DonsGillingham","Milton Keynes Dons","Gillingham","19/08/17",1.85,1.92,1.64,5.24,3.76,2,1,20,18,0,0,1,1,0,0,1,0.5,0,0,1,0.5,3,0,0,1,0.5,0,0,"H",982.790967253181,909.338326206406,0.695461920071797,0.960996137868032,1.10538346178743
"19/08/17OldhamWigan","Oldham","Wigan","19/08/17",2.41,1.53,4.04,1.95,3.26,2,2,23,3,1,4,2,1,0.5,2.5,2,0.5,0.5,2.5,2,0.5,0,0.5,2.5,2,0.5,0.5,0.5,"A",971.867165082597,1038.15922704395,0.505336038359636,0.70076065100297,1.02682680816847
"19/08/17PeterboroRotherham","Peterboro","Rotherham","19/08/17",1.71,2.08,2.34,2.94,3.36,2,3,2,8,4,5,1,0,3,2.5,1,1,3,2.5,1,1,0,3,2.5,1,1,1,0.5,"H",1009.72471465438,1009.36059758714,0.599899966531372,1.11616296189997,1.04096843792802
"19/08/17PortsmouthWalsall","Portsmouth","Walsall","19/08/17",2.05,1.74,1.68,5.13,3.63,2,2,13,11,0,2,3,1,1,1,1.5,1,1,1,1.5,1,0,1,1,1.5,1,0.5,0.5,"D",1004.73862278372,942.287196879131,0.681885754584517,0.990074416458499,0.910197193089314
"19/08/17ScunthorpeOxford","Scunthorpe","Oxford","19/08/17",1.97,1.8,2.41,2.88,3.26,2,1,16,1,1,3,1,0,1,2.5,1,0,1,2.5,1,0,2.5,1,2.5,1,0,0,0.5,"H",1070.00879940474,1086.39127389353,0.576555009187731,1.13823089483149,1.09726016541687
"19/08/17ShrewsburyRochdale","Shrewsbury","Rochdale","19/08/17",1.99,1.79,2.52,2.77,3.23,2,5,6,19,1,1,0,1,1,0.5,0,1.5,1,0.5,0,1.5,2,1,0.5,0,1.5,0,0,"H",996.410254087379,1013.1805030655,0.576010050883632,0.852594230839424,1.12536448536394
"19/08/17SouthendPlymouth","Southend","Plymouth","19/08/17",1.96,1.8,1.99,3.66,3.42,2,2,15,9,0,2,5,0,1,1.5,3,1,1,1.5,3,1,0,1,1.5,3,1,1,0.5,"D",1031.1329970816,1000.13069620611,0.641393157235693,1.11251980344868,0.996424818720599
"26/08/17AFC WimbledonDoncaster","AFC Wimbledon","Doncaster","26/08/17",2.06,1.74,2.62,2.65,3.21,3,2,21,8,0,3,2,3,0.333333333333333,2,1.33333333333333,1.33333333333333,0.333333333333333,2,1.33333333333333,1.33333333333333,0,0.333333333333333,2,1.33333333333333,1.33333333333333,0,0.666666666666667,"H",938.874739694562,1010.75622964694,0.497292330310957,0.770644142850938,1.05500530749077
"26/08/17BlackburnMilton Keynes Dons","Blackburn","Milton Keynes Dons","26/08/17",1.95,1.84,2.06,3.49,3.38,3,5,17,16,1,1,0,0,1,0.333333333333333,1.66666666666667,0.666666666666667,1,0.333333333333333,1.66666666666667,0.666666666666667,0,1,0.333333333333333,1.66666666666667,0.666666666666667,0.666666666666667,0,"H",993.960519863835,994.972493325312,0.59799715987593,1.00994280086518,0.931039599683084
"26/08/17BlackpoolOldham","Blackpool","Oldham","26/08/17",2.45,1.52,2.29,3.27,3.08,3,3,11,24,3,0,3,2,1.66666666666667,0.333333333333333,1.66666666666667,2,1.66666666666667,0.333333333333333,1.66666666666667,2,0,1.66666666666667,0.333333333333333,1.66666666666667,2,0.666666666666667,0.333333333333333,"H",1010.1758834063,951.653727114587,0.676959392533831,1.0555947668094,0.704677581141561
