"GameIndex","HomeTeam","AwayTeam","Date","AvgO25","AvgU25","AvgH","AvgA","AvgD","Played","TG","HtPos","AtPos","HtSGLG","AtSGLG","HtCGLG","AtCGLG","HtASGPG","AtASGPG","HtACGPG","AtACGPG","HtASGP5G","AtASGP5G","HtACGP5G","AtACGP5G","AGTM","HtASGP3G","AtASGP3G","HtACGP3G","AtACGP3G","HtpercentGO","AtpercentGO","FTR","elo_ht","elo_at","win_e_ht","tilt_ht","tilt_at"
"01/09/2019VallecanoLa Coruna","Vallecano","La Coruna","01/09/2019",2.09,1.72,2.17,3.41,3.19,2,4,15,9,1,1,1,3,1.5,2,1.5,2.5,1.5,2,1.5,2.5,0,1.5,2,1.5,2.5,0.5,1,"H",1093.43947397827,1053.34148550411,0.65334494619527,1.15420002168707,0.87522005467942
"01/09/2019GironaMalaga","Girona","Malaga","01/09/2019",2.52,1.5,1.87,4.45,3.25,2,1,19,6,0,1,1,1,0.5,1,1,0.5,0.5,1,1,0.5,0,0.5,1,1,0.5,0,0,"H",1005.47458732887,1103.31381797091,0.460021693536577,1.08051017542367,0.896311656128291
"01/09/2019PonferradinaTenerife","Ponferradina","Tenerife","01/09/2019",2.31,1.59,2.53,2.79,3.17,2,4,21,10,1,3,1,2,1,1.5,2,2,1,1.5,2,2,0,1,1.5,2,2,0.5,0.5,"H",983.294117422222,1005.09490158602,0.568922638781034,1.02741445260461,1.02719103231787
"01/09/2019CadizExtremadura UD","Cadiz","Extremadura UD","01/09/2019",2.35,1.57,1.66,5.58,3.5,2,3,4,18,2,1,1,2,2.5,0.5,1,1,2.5,0.5,1,1,2,2.5,0.5,1,1,1,0.5,"H",1072.16814002335,1012.35025564514,0.67858820681797,0.920566184131926,0.776322984637792
"06/09/2019SantanderCadiz","Santander","Cadiz","06/09/2019",2.66,1.45,2.89,2.71,2.85,3,3,18,1,2,2,2,1,1,2.33333333333333,1.33333333333333,1,1,2.33333333333333,1.33333333333333,1,0,1,2.33333333333333,1.33333333333333,1,0.333333333333333,1,"A",984.54912247086,1085.02460751309,0.456254365696227,1.00070888535887,0.951825294191931
"07/09/2019La CorunaAlbacete","La Coruna","Albacete","07/09/2019",2.31,1.59,1.71,5.31,3.38,3,1,14,15,1,0,3,2,1.66666666666667,0.333333333333333,2.66666666666667,1.66666666666667,1.66666666666667,0.333333333333333,2.66666666666667,1.66666666666667,2,1.66666666666667,0.333333333333333,2.66666666666667,1.66666666666667,1,0.333333333333333,"A",1039.47528275084,1027.72497223917,0.615523996695892,0.900771128272623,0.928923628114689
"07/09/2019MalagaAlmeria","Malaga","Almeria","07/09/2019",2.54,1.49,2.46,3.04,2.98,3,1,11,3,0,1,1,0,0.666666666666667,1.66666666666667,0.666666666666667,0.333333333333333,0.666666666666667,1.66666666666667,0.666666666666667,0.333333333333333,1.5,0.666666666666667,1.66666666666667,0.666666666666667,0.333333333333333,0,0.333333333333333,"A",1081.71468395975,1061.85292522491,0.626512947709391,0.870005848106883,0.886978691403763
"07/09/2019Extremadura UDNumancia","Extremadura UD","Numancia","07/09/2019",2.45,1.53,2.12,3.7,3.06,3,0,20,12,1,2,2,0,0.666666666666667,1.33333333333333,1.33333333333333,1.33333333333333,0.666666666666667,1.33333333333333,1.33333333333333,1.33333333333333,1,0.666666666666667,1.33333333333333,1.33333333333333,1.33333333333333,0.666666666666667,0.333333333333333,"D",999.493788155399,935.292964942793,0.684066179527808,0.802684115469235,0.922445734625698
"07/09/2019FuenlabradaPonferradina","Fuenlabrada","Ponferradina","07/09/2019",2.38,1.56,2.03,3.95,3.09,3,2,2,9,2,4,1,0,2,2,0.666666666666667,1.33333333333333,2,2,0.666666666666667,1.33333333333333,0,2,2,0.666666666666667,1.33333333333333,0.666666666666667,0.666666666666667,"D",1062.92910511031,1000.5372109767,0.681811453620181,1.02321174121908,1.0539260298417
"07/09/2019TenerifeLas Palmas","Tenerife","Las Palmas","07/09/2019",2.17,1.67,2.05,3.79,3.16,3,0,16,17,0,2,4,2,1,1,2.66666666666667,1.33333333333333,1,1,2.66666666666667,1.33333333333333,2.5,1,1,2.66666666666667,1.33333333333333,0.666666666666667,0.333333333333333,"D",987.851808031548,971.221442843633,0.622150173804833,1.05369684437989,1.00434036560687
