"GameIndex","HomeTeam","AwayTeam","Date","AvgO25","AvgU25","AvgH","AvgA","AvgD","Played","TG","HtPos","AtPos","HtSGLG","AtSGLG","HtCGLG","AtCGLG","HtASGPG","AtASGPG","HtACGPG","AtACGPG","HtASGP5G","AtASGP5G","HtACGP5G","AtACGP5G","AGTM","HtASGP3G","AtASGP3G","HtACGP3G","AtACGP3G","HtpercentGO","AtpercentGO","FTR","elo_ht","elo_at","win_e_ht","tilt_ht","tilt_at"
"26/09/2020BarnsleyCoventry","Barnsley","Coventry","26/09/2020",2.05,1.78,2.22,3.33,3.3,2,0,21,15,0,3,2,2,0,2,1.5,2,0,2,1.5,2,0,0,2,1.5,2,0,1,"D",952.323486517609,996.497263223104,0.537098585069802,0.837202528460007,1.04517766521039
"26/09/2020BirminghamRotherham","Birmingham","Rotherham","26/09/2020",2.29,1.62,2.17,3.5,3.25,2,2,5,16,0,0,0,1,0.5,0.5,0,0.5,0.5,0.5,0,0.5,4,0.5,0.5,0,0.5,0,0,"D",917.734224270092,855.43685137897,0.681693302278209,1.02070223186917,1.20097251660696
"26/09/2020CardiffReading","Cardiff","Reading","26/09/2020",2.07,1.76,2.12,3.5,3.36,2,3,14,1,2,2,0,0,1,2,1,0,1,2,1,0,2.16666666666667,1,2,1,0,0,0,"A",1071.67260360255,985.598999165358,0.710627143198815,1.00301741029243,1.03163583167748
"26/09/2020DerbyBlackburn","Derby","Blackburn","26/09/2020",2.03,1.79,2.75,2.6,3.26,2,4,22,11,1,5,2,0,0.5,3.5,2,1.5,0.5,3.5,2,1.5,1.66666666666667,0.5,3.5,2,1.5,0.5,1,"A",981.724335274054,988.573002075143,0.589894219683069,1.1535190011297,1.29742920413892
"26/09/2020MillwallBrentford","Millwall","Brentford","26/09/2020",2.29,1.62,3.69,2.08,3.28,2,2,7,12,1,3,0,0,0.5,1.5,0,0.5,0.5,1.5,0,0.5,2,0.5,1.5,0,0.5,0,0.5,"D",1032.7649669503,1091.07421162455,0.516818066724633,0.858247124915559,1.04502587733674
"26/09/2020PrestonStoke","Preston","Stoke","26/09/2020",2.32,1.6,2.45,3.07,3.12,2,1,19,20,2,0,2,2,1,0,1.5,1,1,0,1.5,1,3,1,0,1.5,1,0.5,0,"A",979.951466630092,1003.63854427557,0.566257789041677,0.886397427822114,1.02963053851428
"26/09/2020QPRMiddlesbrough","QPR","Middlesbrough","26/09/2020",2.15,1.7,2.67,2.71,3.21,2,2,13,18,2,1,3,1,2,0.5,1.5,1,2,0.5,1.5,1,3,2,0.5,1.5,1,0.5,0,"D",954.426944889503,940.629882855625,0.618308375970439,1.21806980458416,0.937113741953151
"27/09/2020Bristol CitySheffield Weds","Bristol City","Sheffield Weds","27/09/2020",2.2,1.67,2.67,2.72,3.2,2,2,5,10,2,0,0,0,2,1,0.5,0,2,1,0.5,0,2.75,2,1,0.5,0,0.5,0,"H",995.193037946467,928.732290039608,0.686870930861148,0.98554751761173,1.11596121651577
"27/09/2020BournemouthNorwich","Bournemouth","Norwich","27/09/2020",1.91,1.88,2.48,2.84,3.32,2,1,11,12,1,2,1,2,2,1.5,1.5,1,2,1.5,1.5,1,0,2,1.5,1.5,1,0.5,0.5,"H",1015.08470900225,1168.98258485848,0.381554556442148,1.02282316306314,1.31395598423856
"02/10/2020CoventryBournemouth","Coventry","Bournemouth","02/10/2020",2.05,1.77,3.6,2.11,3.32,3,4,12,4,0,1,0,0,1.33333333333333,1.66666666666667,1.33333333333333,1,1.33333333333333,1.66666666666667,1.33333333333333,1,0,1.33333333333333,1.66666666666667,1.33333333333333,1,0.666666666666667,0.333333333333333,"A",997.981207959453,1039.82252543273,0.540435130693444,0.992918781949871,0.986903214935211
