GameIndex,HomeTeam,AwayTeam,Date,AvgO25,AvgU25,AvgA,AvgH,Played,HtPos,AtPos,HtSGLG,AtSGLG,HtCGLG,AtCGLG,HtASGPG,AtASGPG,HtACGPG,AtACGPG,HtASGP5G,AtASGP5G,HtACGP5G,AtACGP5G,AGTM,HtASGP3G,AtASGP3G,HtpercentGO,AtpercentGO,elo_ht,elo_at,win_e_ht,tilt_ht,tilt_at
31/07/2021CharleroiSt Truiden,Charleroi,St Truiden,31/07/2021,1.82,1.97,3.45,2.02,1.0,1,6,3,2,0,1,3.0,2.0,0.0,1.0,3.0,2.0,0.0,1.0,2.1,3.0,2.0,1.0,1.0,964.7225142841534,982.5351935645498,0.5745438091015367,1.0662962376244558,1.0138032959158962
31/07/2021Cercle BruggeOud-Heverlee Leuven,Cercle Brugge,Oud-Heverlee Leuven,31/07/2021,1.7,2.13,2.8,2.32,1.0,4,10,1,1,0,1,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,958.3251677904783,955.6263134522634,0.6031214438041491,0.9051594614179042,1.171562293382263
31/07/2021SeraingMechelen,Seraing,Mechelen,31/07/2021,1.72,2.11,1.94,3.48,1.0,18,5,0,3,2,2,0.0,3.0,2.0,2.0,0.0,3.0,2.0,2.0,0.0,0.0,3.0,0.0,1.0,979.9727156999157,1082.0976269616638,0.45389983769978304,0.9841606787447642,1.2014793611172208
31/07/2021EupenAnderlecht,Eupen,Anderlecht,31/07/2021,1.81,1.99,2.07,3.47,1.0,9,17,2,1,2,3,2.0,1.0,2.0,3.0,2.0,1.0,2.0,3.0,3.1,2.0,1.0,1.0,1.0,1002.2936684296916,1113.233844574996,0.44135353796530385,1.14380867730668,0.9457365229023218
01/08/2021St. GilloiseClub Brugge,St. Gilloise,Club Brugge,01/08/2021,1.68,2.15,1.74,4.75,1.0,5,11,3,2,1,2,3.0,2.0,1.0,2.0,3.0,2.0,1.0,2.0,0.0,3.0,2.0,1.0,1.0,1030.9742958957297,1221.1325538098704,0.33365800050781735,1.0377865239475115,1.123153820021034
01/08/2021WaregemStandard,Waregem,Standard,01/08/2021,1.67,2.17,2.26,3.13,1.0,13,12,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.888888888888889,1.0,1.0,0.0,0.0,1003.1464190135796,1044.606999354802,0.5409793986125726,1.4041857777127285,1.0704783175892527
01/08/2021GentBeerschot VA,Gent,Beerschot VA,01/08/2021,1.63,2.24,7.2,1.4,1.0,18,17,1,0,2,1,1.0,0.0,2.0,1.0,1.0,0.0,2.0,1.0,4.0,1.0,0.0,1.0,0.0,1061.0873897699908,938.2115713924713,0.7521817670553715,1.1078864441386165,1.1547517528632525
01/08/2021AntwerpKortrijk,Antwerp,Kortrijk,01/08/2021,1.83,1.97,4.73,1.76,1.0,16,4,2,2,3,0,2.0,2.0,3.0,0.0,2.0,2.0,3.0,0.0,3.0,2.0,2.0,1.0,0.0,1106.6269051085305,949.5533071672794,0.7870342988708671,1.1791399946821781,1.1523900752652414
06/08/2021Club BruggeCercle Brugge,Club Brugge,Cercle Brugge,06/08/2021,1.51,2.51,8.49,1.31,2.0,4,3,1,1,0,1,1.5,1.0,1.0,0.5,1.5,1.0,1.0,0.5,3.1666666666666665,1.5,1.0,0.5,0.0,1234.4788738301831,954.2003100383123,0.8825046706212787,1.0862679152096164,0.894043932351861
07/08/2021Beerschot VASt. Gilloise,Beerschot VA,St. Gilloise,07/08/2021,1.8,2.0,1.82,4.09,2.0,13,7,2,0,2,1,1.0,1.5,1.5,1.0,1.0,1.5,1.5,1.0,0.0,1.0,1.5,0.5,0.5,948.2988420746861,1017.6279758754171,0.5009654528687776,1.1692237318442216,1.0037041976850383
07/08/2021MechelenEupen,Mechelen,Eupen,07/08/2021,1.62,2.26,4.01,1.76,2.0,8,11,0,1,1,1,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,2.25,1.5,1.5,0.5,0.5,1060.253620469655,1004.6395269110794,0.6732877194035312,1.1617272779242143,1.1289133214375369
07/08/2021St TruidenWaregem,St Truiden,Waregem,07/08/2021,1.78,2.02,3.36,2.16,2.0,5,16,0,1,0,2,1.0,1.0,0.5,1.5,1.0,1.0,0.5,1.5,2.7,1.0,1.0,0.5,0.5,985.5169459286112,981.5072430690767,0.6049262506962445,0.9631131311201013,1.3900261995163488
07/08/2021KortrijkGenk,Kortrijk,Genk,07/08/2021,1.71,2.13,2.05,3.33,2.0,1,14,1,3,0,4,1.5,2.0,0.0,2.5,1.5,2.0,0.0,2.5,3.0,1.5,2.0,0.0,0.5,981.0346791221141,1038.174995533028,0.518498125794225,1.111732085902473,1.327760993628903
08/08/2021StandardAntwerp,Standard,Antwerp,08/08/2021,1.88,1.92,3.07,2.26,2.0,7,18,2,0,1,1,1.5,1.0,1.0,2.0,1.5,1.0,1.0,2.0,1.875,1.5,1.0,0.5,0.5,1066.246175299305,1075.1455331536959,0.5870354775250544,1.0596837904789411,1.1375382294552707
08/08/2021Oud-Heverlee LeuvenCharleroi,Oud-Heverlee Leuven,Charleroi,08/08/2021,1.78,2.02,2.48,2.65,2.0,14,6,1,0,1,0,1.0,1.5,1.0,0.0,1.0,1.5,1.0,0.0,3.0,1.0,1.5,0.0,0.5,959.7511712044294,961.7407619200919,0.596643593895623,1.1571752872470442,1.012981425743233
08/08/2021AnderlechtSeraing,Anderlecht,Seraing,08/08/2021,1.59,2.31,7.38,1.38,2.0,16,11,1,1,1,0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,0.0,1.0,0.5,0.5,0.0,1110.887986093608,1001.8167221919244,0.737074268730776,0.9334205802568726,0.9515987900907895
08/08/2021OostendeGent,Oostende,Gent,08/08/2021,1.64,2.23,1.96,3.53,2.0,13,15,4,2,3,2,2.0,1.5,3.0,2.0,2.0,1.5,3.0,2.0,2.6,2.0,1.5,1.0,1.0,1033.2548620012567,1051.0001190877758,0.574638678031972,1.0717123325213758,1.1217710815016857
13/08/2021CharleroiAntwerp,Charleroi,Antwerp,13/08/2021,1.8,2.01,2.65,2.57,3.0,4,13,1,5,1,2,1.3333333333333333,2.3333333333333335,0.3333333333333333,2.0,1.3333333333333333,2.3333333333333335,0.3333333333333333,2.0,2.5,1.3333333333333333,2.3333333333333335,0.3333333333333333,0.6666666666666666,965.6065056759169,1098.626952254698,0.41028801884473587,0.9968992869172383,1.212776200986167
14/08/2021St. GilloiseKortrijk,St. Gilloise,Kortrijk,14/08/2021,1.83,1.98,4.87,1.65,3.0,1,3,3,1,0,2,2.0,1.3333333333333333,0.6666666666666666,0.6666666666666666,2.0,1.3333333333333333,0.6666666666666666,0.6666666666666666,0.0,2.0,1.3333333333333333,0.6666666666666666,0.3333333333333333,1037.6665939901682,960.2947540903451,0.7002189095321516,1.0048350861366981,1.101334337348633
14/08/2021EupenSt Truiden,Eupen,St Truiden,14/08/2021,1.79,2.02,3.46,1.98,3.0,5,12,3,1,1,3,2.0,1.0,1.3333333333333333,1.3333333333333333,2.0,1.0,1.3333333333333333,1.3333333333333333,4.0,2.0,1.0,0.6666666666666666,0.6666666666666666,1031.5710356872207,961.3198959007615,0.6915446160552092,1.1413306333814166,0.9725103466091236
14/08/2021SeraingOostende,Seraing,Oostende,14/08/2021,1.69,2.16,2.0,3.41,3.0,16,4,0,1,3,0,0.3333333333333333,1.6666666666666667,1.6666666666666667,2.0,0.3333333333333333,1.6666666666666667,1.6666666666666667,2.0,0.0,0.3333333333333333,1.6666666666666667,0.3333333333333333,0.6666666666666666,991.2996929411555,1050.2693148799779,0.5158686588952625,0.9682985560792319,1.0359556654285988
14/08/2021GenkOud-Heverlee Leuven,Genk,Oud-Heverlee Leuven,14/08/2021,1.48,2.61,6.53,1.48,3.0,11,14,2,1,1,1,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,3.5,2.0,1.0,0.6666666666666666,0.0,1058.914920564797,955.8854274486044,0.7302788556681912,1.3153427814297443,1.1388039201690514
15/08/2021Beerschot VAStandard,Beerschot VA,Standard,15/08/2021,1.7,2.13,1.98,3.54,3.0,18,13,0,2,3,5,0.6666666666666666,1.6666666666666667,2.0,2.3333333333333335,0.6666666666666666,1.6666666666666667,2.0,2.3333333333333335,3.0,0.6666666666666666,1.6666666666666667,0.6666666666666666,0.6666666666666666,928.260223959935,1042.7647561983028,0.4363008444925698,1.1705411136174564,1.1297723877632593
15/08/2021GentMechelen,Gent,Mechelen,15/08/2021,1.53,2.46,4.3,1.8,3.0,17,14,0,1,1,3,1.0,1.3333333333333333,1.6666666666666667,2.0,1.0,1.3333333333333333,1.6666666666666667,2.0,2.5,1.0,1.3333333333333333,0.6666666666666666,0.6666666666666666,1033.9856662090547,1033.3221116935138,0.6003136413634257,1.0843442516534252,1.1745055220371725
15/08/2021Cercle BruggeAnderlecht,Cercle Brugge,Anderlecht,15/08/2021,1.95,1.86,1.94,3.86,3.0,7,9,1,3,1,0,1.0,1.6666666666666667,0.6666666666666666,1.3333333333333333,1.0,1.6666666666666667,0.6666666666666666,1.3333333333333333,2.8333333333333335,1.0,1.6666666666666667,0.0,0.6666666666666666,969.5004968631634,1121.405015344377,0.3842659343946416,0.8861650639757922,0.9498013338070096
15/08/2021WaregemClub Brugge,Waregem,Club Brugge,15/08/2021,1.51,2.51,1.48,5.87,3.0,11,8,3,1,1,1,1.6666666666666667,1.3333333333333333,1.3333333333333333,1.0,1.6666666666666667,1.3333333333333333,1.3333333333333333,1.0,3.9,1.6666666666666667,1.3333333333333333,0.6666666666666666,0.3333333333333333,1005.7042930969264,1219.178687005332,0.30451163162233547,1.4035888593017576,1.0766950501462977
20/08/2021StandardOostende,Standard,Oostende,20/08/2021,1.5,2.52,3.67,1.91,4.0,7,2,1,3,0,2,1.5,2.0,1.75,2.0,1.5,2.0,1.75,2.0,3.4,1.6666666666666667,2.6666666666666665,0.5,0.75,1060.2167899780056,1070.9040612357883,0.5845382124899271,1.0903698833071824,1.0874318149459494
21/08/2021SeraingCercle Brugge,Seraing,Cercle Brugge,21/08/2021,1.87,1.92,2.4,2.83,4.0,17,10,2,1,3,2,0.75,1.0,2.0,1.0,0.75,1.0,2.0,1.0,0.0,1.0,1.0,0.5,0.25,970.664946585345,954.1298594873778,0.6220211853203543,1.01641285567095,0.905027916001194
21/08/2021Oud-Heverlee LeuvenEupen,Oud-Heverlee Leuven,Eupen,21/08/2021,1.66,2.2,2.73,2.35,4.0,16,5,0,2,4,1,0.75,2.0,1.75,1.25,0.75,2.0,1.75,1.25,4.0,0.6666666666666666,2.0,0.25,0.75,945.0965816753321,1043.9092510450123,0.4586300301746647,1.1426843719259228,1.1459601034147477
21/08/2021St TruidenKortrijk,St Truiden,Kortrijk,21/08/2021,1.97,1.83,2.72,2.69,4.0,13,9,1,0,2,2,1.0,1.0,1.5,1.0,1.0,1.0,1.5,1.0,2.3,0.6666666666666666,0.6666666666666666,0.75,0.25,948.9816805429698,948.3035104716312,0.6003338280437354,0.9764550470973535,1.0860751476584105
22/08/2021WaregemCharleroi,Waregem,Charleroi,22/08/2021,1.7,2.14,2.3,2.88,4.0,14,9,0,1,4,1,1.25,1.25,2.0,0.5,1.25,1.25,2.0,0.5,3.5,1.3333333333333333,0.6666666666666666,0.75,0.25,993.523827832033,969.1949849221274,0.6325101267859777,1.4077108631475654,0.9800365001301659
22/08/2021Club BruggeBeerschot VA,Club Brugge,Beerschot VA,22/08/2021,1.45,2.67,13.7,1.19,4.0,6,18,4,0,0,1,2.0,0.5,0.75,1.75,2.0,0.5,0.75,1.75,2.0,2.0,0.6666666666666666,0.5,0.5,1231.3591522702254,910.8081901802323,0.9044944716443266,1.0798570452761773,1.1297167387744436
