GameIndex,HomeTeam,AwayTeam,Date,AvgO25,AvgU25,AvgH,AvgA,AvgD,Played,TG,HtPos,AtPos,HtSGLG,AtSGLG,HtCGLG,AtCGLG,HtASGPG,AtASGPG,HtACGPG,AtACGPG,HtASGP5G,AtASGP5G,HtACGP5G,AtACGP5G,AGTM,HtASGP3G,AtASGP3G,HtACGP3G,AtACGP3G,HtpercentGO,AtpercentGO,FTR
22/10/2022EstorilSp Braga,Estoril,Sp Braga,22/10/2022,1.75,2.06,4.66,1.7,3.87,9.0,2,7,3,1,0,0,1,1.2222222222222223,2.6666666666666665,0.7777777777777778,1.1111111111111112,0.8,1.4,0.8,1.4,3.3333333333333335,1.0,1.0,0.6666666666666666,1.6666666666666667,0.2222222222222222,0.6666666666666666,A
22/10/2022Sp LisbonCasa Pia,Sp Lisbon,Casa Pia,22/10/2022,1.75,2.07,1.29,10.22,5.29,9.0,4,5,4,2,0,1,1,2.0,1.0,1.3333333333333333,0.5555555555555556,2.4,1.2,0.8,0.8,0.0,2.0,1.0,1.3333333333333333,0.6666666666666666,0.7777777777777778,0.2222222222222222,H
23/10/2022MaritimoArouca,Maritimo,Arouca,23/10/2022,2.17,1.68,2.59,2.75,3.2,9.0,2,18,11,1,4,1,1,0.6666666666666666,1.2222222222222223,2.7777777777777777,1.8888888888888888,0.8,1.6,2.4,1.2,3.0,0.6666666666666666,2.3333333333333335,2.6666666666666665,1.3333333333333333,0.7777777777777778,0.6666666666666666,D
23/10/2022VizelaSanta Clara,Vizela,Santa Clara,23/10/2022,2.25,1.64,1.99,3.91,3.29,9.0,1,12,16,1,1,0,2,0.7777777777777778,0.6666666666666666,1.0,1.2222222222222223,0.6,0.8,1.0,1.2,3.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.3333333333333333,0.2222222222222222,0.4444444444444444,A
23/10/2022ChavesGil Vicente,Chaves,Gil Vicente,23/10/2022,2.02,1.79,2.55,2.71,3.34,9.0,4,10,14,1,0,0,1,0.8888888888888888,0.8888888888888888,1.0,1.3333333333333333,0.6,1.0,1.2,1.8,0.0,0.6666666666666666,1.0,0.6666666666666666,2.0,0.2222222222222222,0.4444444444444444,H
23/10/2022GuimaraesBoavista,Guimaraes,Boavista,23/10/2022,2.35,1.59,2.07,3.77,3.21,9.0,5,9,6,1,1,0,1,0.7777777777777778,1.0,0.6666666666666666,1.4444444444444444,0.8,1.2,0.6,1.4,1.9166666666666667,1.0,1.0,0.6666666666666666,2.0,0.2222222222222222,0.5555555555555556,H
24/10/2022Rio AvePortimonense,Rio Ave,Portimonense,24/10/2022,2.19,1.67,2.56,2.86,3.1,9.0,1,14,10,2,0,4,2,1.4444444444444444,0.8888888888888888,1.8888888888888888,1.0,1.6,0.4,2.0,1.4,2.375,1.6666666666666667,0.3333333333333333,2.0,1.0,0.6666666666666666,0.3333333333333333,H
28/10/2022Pacos FerreiraMaritimo,Pacos Ferreira,Maritimo,28/10/2022,2.18,1.66,2.28,3.23,3.18,10.0,1,17,18,1,1,2,1,0.7,0.7,1.9,2.6,1.0,0.8,1.6,2.2,1.8,0.6666666666666666,1.0,1.3333333333333333,1.3333333333333333,0.5,0.7,A
29/10/2022Santa ClaraPorto,Santa Clara,Porto,29/10/2022,1.84,1.94,7.76,1.39,4.51,10.0,2,16,3,1,0,0,1,0.7,2.2,1.1,0.7,0.6,2.0,1.0,0.6,2.25,0.6666666666666666,2.0,1.0,0.6666666666666666,0.4,0.5,D
29/10/2022BenficaChaves,Benfica,Chaves,29/10/2022,1.44,2.7,1.17,14.88,7.04,10.0,5,1,9,1,3,0,1,2.4,1.1,0.5,1.0,2.2,1.0,0.4,1.2,3.0,1.6666666666666667,1.6666666666666667,0.6666666666666666,0.6666666666666666,0.6,0.3,H
29/10/2022AroucaSp Lisbon,Arouca,Sp Lisbon,29/10/2022,1.87,1.9,6.92,1.45,4.3,10.0,1,11,4,1,3,1,1,1.2,2.1,1.8,1.3,1.8,2.6,1.4,1.0,2.75,2.0,2.6666666666666665,1.0,1.0,0.6,0.8,H
30/10/2022BoavistaVizela,Boavista,Vizela,30/10/2022,2.14,1.68,2.49,2.85,3.2,10.0,4,8,13,2,0,3,1,1.1,0.7,1.6,1.0,1.4,0.4,2.0,0.8,3.0,1.0,0.6666666666666666,2.6666666666666665,0.3333333333333333,0.6,0.2,D
30/10/2022PortimonenseEstoril,Portimonense,Estoril,30/10/2022,2.22,1.64,2.34,3.09,3.17,10.0,2,10,9,0,0,1,2,0.8,1.1,1.0,0.9,0.2,0.8,1.6,0.8,1.25,0.0,0.6666666666666666,1.3333333333333333,1.0,0.3,0.2,D
30/10/2022Casa PiaRio Ave,Casa Pia,Rio Ave,30/10/2022,2.28,1.6,2.03,3.76,3.25,10.0,1,5,12,1,1,3,0,1.0,1.4,0.8,1.7,1.4,1.6,1.4,1.8,0.0,1.0,1.3333333333333333,1.6666666666666667,1.3333333333333333,0.3,0.6,H
30/10/2022Gil VicenteSp Braga,Gil Vicente,Sp Braga,30/10/2022,1.78,2.01,4.4,1.75,3.73,10.0,1,16,3,1,2,3,0,0.9,2.6,1.5,1.0,1.2,1.6,2.0,1.4,1.8333333333333333,0.6666666666666666,1.0,2.3333333333333335,1.6666666666666667,0.5,0.6,A
31/10/2022GuimaraesFamalicao,Guimaraes,Famalicao,31/10/2022,2.29,1.6,2.02,3.78,3.26,10.0,5,6,14,3,2,2,1,1.0,0.8,0.8,1.3,1.4,1.4,0.8,1.4,3.1666666666666665,1.3333333333333333,2.3333333333333335,0.6666666666666666,1.6666666666666667,0.3,0.4,H
04/11/2022Gil VicentePortimonense,Gil Vicente,Portimonense,04/11/2022,1.98,1.82,2.26,3.11,3.39,11.0,3,16,9,0,1,1,1,0.8181818181818182,0.8181818181818182,1.4545454545454546,1.0,0.8,0.4,2.0,1.0,1.8333333333333333,0.3333333333333333,0.3333333333333333,1.6666666666666667,1.3333333333333333,0.45454545454545453,0.2727272727272727,A
05/11/2022VizelaArouca,Vizela,Arouca,05/11/2022,2.19,1.66,1.95,4.14,3.29,11.0,1,12,10,2,1,2,0,0.8181818181818182,1.1818181818181819,1.0909090909090908,1.6363636363636365,0.8,1.8,1.0,1.0,4.0,1.0,2.0,1.0,0.6666666666666666,0.2727272727272727,0.5454545454545454,A
05/11/2022PortoPacos Ferreira,Porto,Pacos Ferreira,05/11/2022,1.43,2.76,1.12,21.13,8.59,11.0,4,3,18,1,0,1,1,2.090909090909091,0.6363636363636364,0.7272727272727273,1.8181818181818181,1.6,0.6,0.8,1.2,3.2,1.0,0.3333333333333333,0.6666666666666666,1.3333333333333333,0.45454545454545453,0.45454545454545453,H
05/11/2022Sp LisbonGuimaraes,Sp Lisbon,Guimaraes,05/11/2022,1.71,2.12,1.33,9.0,5.11,11.0,3,6,5,0,3,1,2,1.9090909090909092,1.1818181818181819,1.2727272727272727,0.9090909090909091,1.8,1.8,1.2,1.2,2.9166666666666665,1.6666666666666667,2.3333333333333335,1.0,1.3333333333333333,0.7272727272727273,0.36363636363636365,H
06/11/2022Rio AveBoavista,Rio Ave,Boavista,06/11/2022,2.27,1.62,2.42,3.04,3.13,11.0,1,12,9,0,2,1,2,1.2727272727272727,1.1818181818181819,1.6363636363636365,1.6363636363636365,1.2,1.4,1.4,2.2,2.3,1.0,1.6666666666666667,1.6666666666666667,2.0,0.5454545454545454,0.6363636363636364,H
06/11/2022MaritimoFamalicao,Maritimo,Famalicao,06/11/2022,2.17,1.67,2.77,2.6,3.16,11.0,0,17,14,1,2,0,3,0.7272727272727273,0.9090909090909091,2.3636363636363638,1.4545454545454546,0.8,1.8,1.8,1.8,2.6666666666666665,1.0,1.6666666666666667,0.6666666666666666,2.6666666666666665,0.6363636363636364,0.45454545454545453,D
06/11/2022Sp BragaCasa Pia,Sp Braga,Casa Pia,06/11/2022,1.74,2.08,1.41,7.38,4.7,11.0,1,3,5,1,1,0,0,2.4545454545454546,1.0,0.9090909090909091,0.7272727272727273,1.2,1.0,1.0,1.0,0.0,1.0,0.6666666666666666,0.3333333333333333,1.3333333333333333,0.5454545454545454,0.2727272727272727,A
06/11/2022EstorilBenfica,Estoril,Benfica,06/11/2022,1.57,2.38,9.54,1.29,5.57,11.0,6,10,1,1,5,1,0,1.0909090909090908,2.6363636363636362,0.9090909090909091,0.45454545454545453,0.8,3.0,1.0,0.4,2.6666666666666665,0.6666666666666666,3.3333333333333335,1.0,0.6666666666666666,0.18181818181818182,0.6363636363636364,A
07/11/2022ChavesSanta Clara,Chaves,Santa Clara,07/11/2022,2.35,1.58,2.35,3.18,3.1,11.0,0,12,15,0,1,5,1,1.0,0.7272727272727273,1.3636363636363635,1.0909090909090908,1.0,0.8,1.6,1.0,0.5,1.3333333333333333,1.0,2.0,1.0,0.36363636363636365,0.36363636363636365,D
12/11/2022AroucaRio Ave,Arouca,Rio Ave,12/11/2022,2.25,1.63,2.29,3.23,3.2,12.0,1,8,12,1,1,0,0,1.1666666666666667,1.25,1.5,1.5,1.6,1.0,0.6,1.0,2.5,1.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.5,0.5,A
12/11/2022BoavistaPorto,Boavista,Porto,12/11/2022,1.72,2.1,9.1,1.35,4.82,12.0,5,9,2,0,4,1,0,1.0833333333333333,2.25,1.5833333333333333,0.6666666666666666,1.0,2.2,2.2,0.6,2.75,1.3333333333333333,1.6666666666666667,2.0,0.6666666666666666,0.5833333333333334,0.5,A
13/11/2022GuimaraesMaritimo,Guimaraes,Maritimo,13/11/2022,2.04,1.77,1.7,5.03,3.66,12.0,1,6,17,0,0,3,0,1.0833333333333333,0.6666666666666666,1.0833333333333333,2.1666666666666665,1.4,0.8,1.4,0.8,1.75,2.0,0.6666666666666666,2.3333333333333335,0.3333333333333333,0.4166666666666667,0.5833333333333334,H
13/11/2022Pacos FerreiraVizela,Pacos Ferreira,Vizela,13/11/2022,2.15,1.69,3.1,2.36,3.21,12.0,2,18,13,0,0,4,1,0.5833333333333334,0.75,2.0,1.0833333333333333,0.4,0.8,1.8,0.8,2.5,0.3333333333333333,0.6666666666666666,2.3333333333333335,1.3333333333333333,0.5,0.25,A
13/11/2022BenficaGil Vicente,Benfica,Gil Vicente,13/11/2022,1.37,3.04,1.13,18.66,8.49,12.0,4,1,16,5,1,1,2,2.8333333333333335,0.8333333333333334,0.5,1.5,3.0,0.6,0.6,2.0,2.1666666666666665,3.6666666666666665,0.6666666666666666,0.3333333333333333,2.0,0.6666666666666666,0.5,H
13/11/2022Casa PiaChaves,Casa Pia,Chaves,13/11/2022,2.16,1.68,2.06,3.68,3.32,12.0,3,4,12,1,0,0,0,1.0,0.9166666666666666,0.6666666666666666,1.25,1.0,1.0,1.0,1.4,0.0,1.0,1.0,1.0,2.0,0.25,0.3333333333333333,A
13/11/2022PortimonenseSp Braga,Portimonense,Sp Braga,13/11/2022,1.74,2.07,4.83,1.67,3.92,12.0,3,7,3,2,0,1,1,0.9166666666666666,2.25,1.0,0.9166666666666666,0.6,0.8,1.2,1.2,2.4,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.5,A
13/11/2022FamalicaoSp Lisbon,Famalicao,Sp Lisbon,13/11/2022,1.83,1.97,5.19,1.65,3.83,12.0,3,14,5,0,3,0,0,0.8333333333333334,2.0,1.3333333333333333,1.1666666666666667,1.8,2.2,1.6,0.8,2.8333333333333335,1.3333333333333333,2.0,1.3333333333333333,0.6666666666666666,0.4166666666666667,0.75,A
14/11/2022Santa ClaraEstoril,Santa Clara,Estoril,14/11/2022,2.26,1.63,2.32,3.2,3.15,12.0,4,15,12,0,1,0,5,0.6666666666666666,1.0833333333333333,1.0,1.25,0.6,0.8,0.8,1.8,3.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,2.6666666666666665,0.3333333333333333,0.25,H
23/12/2022Rio AveMaritimo,Rio Ave,Maritimo,23/12/2022,2.12,1.72,2.0,3.88,3.36,13.0,2,10,17,1,0,0,1,1.2307692307692308,0.6153846153846154,1.3846153846153846,2.076923076923077,1.0,0.6,1.0,0.6,1.7,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.46153846153846156,0.5384615384615384,D
28/12/2022PortimonenseCasa Pia,Portimonense,Casa Pia,28/12/2022,2.21,1.66,2.35,3.14,3.19,13.0,3,7,5,1,1,2,2,0.9230769230769231,1.0,1.0769230769230769,0.7692307692307693,0.8,0.8,1.4,1.2,0.0,1.3333333333333333,1.0,1.3333333333333333,0.6666666666666666,0.38461538461538464,0.3076923076923077,A
28/12/2022PortoArouca,Porto,Arouca,28/12/2022,1.46,2.65,1.13,20.31,8.18,13.0,6,2,10,4,0,1,1,2.3846153846153846,1.0769230769230769,0.6923076923076923,1.4615384615384615,2.2,1.4,0.6,0.6,3.0,3.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.5384615384615384,0.46153846153846156,H
29/12/2022Gil VicenteSanta Clara,Gil Vicente,Santa Clara,29/12/2022,2.17,1.68,2.17,3.45,3.25,13.0,1,16,14,1,3,3,1,0.8461538461538461,0.8461538461538461,1.6153846153846154,1.0,0.6,1.2,2.0,0.8,1.5,0.6666666666666666,1.3333333333333333,2.0,0.6666666666666666,0.5384615384615384,0.38461538461538464,H
29/12/2022Sp LisbonPacos Ferreira,Sp Lisbon,Pacos Ferreira,29/12/2022,1.46,2.61,1.14,20.17,8.08,13.0,3,5,18,2,0,1,2,2.0,0.5384615384615384,1.1538461538461537,2.0,2.0,0.2,0.8,2.0,2.4,1.6666666666666667,0.0,0.6666666666666666,2.3333333333333335,0.7692307692307693,0.46153846153846156,H
30/12/2022ChavesFamalicao,Chaves,Famalicao,30/12/2022,2.19,1.66,2.49,2.94,3.15,13.0,2,8,16,2,1,1,2,1.0,0.8461538461538461,1.2307692307692308,1.3846153846153846,1.2,1.2,1.4,2.0,0.0,0.6666666666666666,1.0,2.0,1.6666666666666667,0.38461538461538464,0.46153846153846156,A
30/12/2022VizelaGuimaraes,Vizela,Guimaraes,30/12/2022,2.13,1.7,2.25,3.25,3.27,13.0,3,13,6,2,1,0,0,0.8461538461538461,1.0769230769230769,1.0,1.0,1.0,1.6,0.8,1.4,4.5,1.3333333333333333,1.3333333333333333,1.0,1.6666666666666667,0.23076923076923078,0.38461538461538464,H
30/12/2022Sp BragaBenfica,Sp Braga,Benfica,30/12/2022,1.82,1.98,4.6,1.72,3.83,13.0,3,3,1,2,3,1,1,2.230769230769231,2.8461538461538463,0.9230769230769231,0.5384615384615384,1.0,3.6,0.6,0.8,4.166666666666667,1.0,4.333333333333333,0.6666666666666666,0.6666666666666666,0.5384615384615384,0.6923076923076923,H
05/01/2023Santa ClaraSp Braga,Santa Clara,Sp Braga,05/01/2023,1.91,1.88,4.98,1.68,3.79,14.0,4,15,3,0,3,1,0,0.7857142857142857,2.2857142857142856,1.0,0.8571428571428571,1.0,1.6,0.6,0.4,2.25,1.0,1.6666666666666667,0.6666666666666666,0.6666666666666666,0.35714285714285715,0.5714285714285714,A
06/01/2023BenficaPortimonense,Benfica,Portimonense,06/01/2023,1.43,2.79,1.16,17.34,7.65,14.0,1,1,8,0,1,3,2,2.642857142857143,0.9285714285714286,0.7142857142857143,1.1428571428571428,2.8,1.0,1.0,1.4,3.6,2.6666666666666665,1.3333333333333333,1.6666666666666667,1.6666666666666667,0.7142857142857143,0.42857142857142855,H
06/01/2023FamalicaoVizela,Famalicao,Vizela,06/01/2023,2.25,1.64,2.43,3.08,3.12,14.0,3,14,11,2,3,0,0,0.9285714285714286,1.0,1.2857142857142858,0.9285714285714286,1.4,1.4,1.2,0.8,2.0,1.0,1.6666666666666667,0.6666666666666666,0.3333333333333333,0.42857142857142855,0.2857142857142857,H
07/01/2023AroucaEstoril,Arouca,Estoril,07/01/2023,2.1,1.74,2.27,3.22,3.28,13.5,2,10,14,1,1,5,3,1.0714285714285714,1.0769230769230769,1.7142857142857142,1.3846153846153846,0.8,0.8,1.4,2.2,3.5,0.6666666666666666,1.0,2.0,3.0,0.5,0.3076923076923077,H
07/01/2023GuimaraesRio Ave,Guimaraes,Rio Ave,07/01/2023,2.31,1.61,2.02,3.85,3.3,14.0,0,6,7,0,1,3,1,1.0,1.2142857142857142,1.1428571428571428,1.3571428571428572,1.4,0.8,2.0,0.4,2.7,0.3333333333333333,1.0,2.0,0.3333333333333333,0.42857142857142855,0.42857142857142855,D
07/01/2023Casa PiaPorto,Casa Pia,Porto,07/01/2023,1.85,1.95,8.6,1.38,4.63,14.0,0,5,3,2,5,1,1,1.0714285714285714,2.5714285714285716,0.7857142857142857,0.7142857142857143,1.2,2.8,1.2,0.8,0.0,1.3333333333333333,4.333333333333333,1.0,0.6666666666666666,0.35714285714285715,0.5714285714285714,D
08/01/2023Pacos FerreiraChaves,Pacos Ferreira,Chaves,08/01/2023,2.15,1.69,2.82,2.54,3.24,14.0,2,18,10,0,0,3,2,0.5,0.9285714285714286,2.0714285714285716,1.2857142857142858,0.2,1.0,2.4,1.8,2.75,0.0,0.6666666666666666,3.0,1.0,0.5,0.35714285714285715,D
08/01/2023MaritimoSp Lisbon,Maritimo,Sp Lisbon,08/01/2023,1.69,2.15,7.98,1.38,4.85,14.0,1,17,4,1,3,1,0,0.6428571428571429,2.0714285714285716,2.0,1.0714285714285714,0.6,2.2,0.6,0.6,2.5,0.3333333333333333,2.6666666666666665,0.6666666666666666,0.3333333333333333,0.5,0.7857142857142857,H
08/01/2023BoavistaGil Vicente,Boavista,Gil Vicente,08/01/2023,2.08,1.75,2.61,2.73,3.25,13.5,1,13,16,1,1,4,0,1.0769230769230769,0.8571428571428571,1.7692307692307692,1.5,1.2,0.8,2.2,1.8,2.0,1.0,1.0,2.3333333333333335,1.6666666666666667,0.6153846153846154,0.5,H
13/01/2023PortimonenseSanta Clara,Portimonense,Santa Clara,13/01/2023,2.17,1.69,2.01,3.83,3.35,15.0,0,11,15,0,0,1,4,0.8666666666666667,0.7333333333333333,1.1333333333333333,1.2,1.0,0.8,1.4,1.4,2.625,0.6666666666666666,1.0,1.6666666666666667,2.0,0.4,0.4,D
14/01/2023VizelaMaritimo,Vizela,Maritimo,14/01/2023,2.09,1.74,1.83,4.4,3.5,15.0,3,12,17,1,1,2,0,1.0,0.6666666666666666,1.0,1.8666666666666667,1.6,0.6,1.0,0.4,2.0,2.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.4666666666666667,H
14/01/2023Rio AvePacos Ferreira,Rio Ave,Pacos Ferreira,14/01/2023,2.23,1.65,1.94,4.11,3.34,15.0,1,8,18,0,1,0,1,1.1333333333333333,0.5333333333333333,1.2666666666666666,2.0,0.6,0.2,0.4,2.2,2.25,0.6666666666666666,0.3333333333333333,0.3333333333333333,2.0,0.4,0.4666666666666667,A
14/01/2023Sp BragaBoavista,Sp Braga,Boavista,14/01/2023,1.69,2.17,1.31,9.66,5.27,14.5,1,2,11,4,1,0,0,2.4,1.0714285714285714,0.8,1.6428571428571428,2.0,1.2,0.4,2.0,2.9166666666666665,3.0,0.6666666666666666,0.3333333333333333,1.6666666666666667,0.6,0.5714285714285714,H
15/01/2023ChavesArouca,Chaves,Arouca,15/01/2023,2.11,1.73,2.16,3.41,3.32,15.0,2,11,7,1,2,1,0,0.9333333333333333,1.1333333333333333,1.2666666666666666,1.6,0.6,1.0,1.8,1.2,1.5,1.0,1.0,1.3333333333333333,2.0,0.3333333333333333,0.4666666666666667,D
15/01/2023BenficaSp Lisbon,Benfica,Sp Lisbon,15/01/2023,1.72,2.11,1.83,3.98,3.79,15.0,4,1,4,1,0,0,1,2.533333333333333,1.9333333333333333,0.6666666666666666,1.0666666666666667,2.8,1.6,1.0,0.6,2.8333333333333335,1.3333333333333333,1.6666666666666667,1.3333333333333333,0.6666666666666666,0.6666666666666666,0.7333333333333333,D
15/01/2023PortoFamalicao,Porto,Famalicao,15/01/2023,1.55,2.42,1.18,15.2,6.87,15.0,5,3,13,0,2,0,1,2.4,1.0,0.6666666666666666,1.2666666666666666,2.8,1.4,0.6,1.2,3.8333333333333335,3.0,1.6666666666666667,0.6666666666666666,1.0,0.5333333333333333,0.4666666666666667,H
16/01/2023EstorilCasa Pia,Estoril,Casa Pia,16/01/2023,2.32,1.6,2.84,2.58,3.1,14.5,2,14,5,0,0,2,0,1.0,1.0,1.4285714285714286,0.7333333333333333,0.6,1.0,2.6,0.6,0.0,0.6666666666666666,1.0,3.3333333333333335,1.0,0.2857142857142857,0.3333333333333333,H
16/01/2023Gil VicenteGuimaraes,Gil Vicente,Guimaraes,16/01/2023,2.05,1.76,2.46,2.91,3.22,15.0,3,16,6,0,0,1,0,0.8,0.9333333333333333,1.4666666666666666,1.0666666666666667,0.6,0.8,1.4,1.6,4.333333333333333,0.6666666666666666,0.3333333333333333,1.3333333333333333,1.0,0.4666666666666667,0.4,H
20/01/2023AroucaPortimonense,Arouca,Portimonense,20/01/2023,2.22,1.66,2.42,3.04,3.17,16.0,4,7,11,1,0,1,0,1.125,0.8125,1.5625,1.0625,1.0,0.8,1.4,1.2,1.5,1.3333333333333333,0.3333333333333333,2.0,1.0,0.4375,0.375,H
20/01/2023Sp LisbonVizela,Sp Lisbon,Vizela,20/01/2023,1.61,2.31,1.28,10.2,5.6,16.0,3,4,8,2,3,2,0,1.9375,1.125,1.125,0.9375,2.0,1.8,0.8,0.6,2.5,1.6666666666666667,2.3333333333333335,1.0,0.6666666666666666,0.75,0.375,H
21/01/2023Pacos FerreiraSp Braga,Pacos Ferreira,Sp Braga,21/01/2023,1.78,2.04,6.91,1.44,4.51,16.0,3,18,2,1,1,0,0,0.5625,2.3125,1.875,0.75,0.4,2.0,2.0,0.4,3.0,0.6666666666666666,2.6666666666666665,1.3333333333333333,0.0,0.4375,0.5625,A
21/01/2023Santa ClaraBenfica,Santa Clara,Benfica,21/01/2023,1.63,2.26,10.04,1.29,5.39,16.0,3,16,1,0,2,0,2,0.6875,2.5,1.125,0.75,0.6,2.2,1.2,1.4,3.75,0.0,1.0,1.6666666666666667,1.6666666666666667,0.375,0.6875,A
21/01/2023GuimaraesPorto,Guimaraes,Porto,21/01/2023,1.79,2.03,7.84,1.4,4.63,16.0,1,7,3,1,4,2,1,0.9375,2.5,1.125,0.6875,0.4,3.4,1.6,0.6,2.75,0.3333333333333333,3.0,1.6666666666666667,0.6666666666666666,0.4375,0.5625,A
22/01/2023MaritimoEstoril,Maritimo,Estoril,22/01/2023,2.4,1.57,2.51,3.01,3.05,15.5,1,17,13,0,2,3,0,0.625,1.0666666666666667,1.9375,1.3333333333333333,0.4,1.0,1.0,2.2,1.3333333333333333,0.6666666666666666,1.0,1.3333333333333333,1.6666666666666667,0.5,0.26666666666666666,H
22/01/2023Casa PiaGil Vicente,Casa Pia,Gil Vicente,22/01/2023,2.3,1.61,2.31,3.21,3.18,16.0,4,5,15,0,2,2,1,0.9375,0.875,0.8125,1.4375,0.8,1.0,1.0,1.4,0.0,0.6666666666666666,1.0,1.0,0.6666666666666666,0.3125,0.5,A
22/01/2023FamalicaoRio Ave,Famalicao,Rio Ave,22/01/2023,2.34,1.59,2.11,3.64,3.24,16.0,0,14,10,1,0,4,1,1.0,1.0625,1.4375,1.25,1.2,0.6,1.4,0.4,2.0,1.6666666666666667,0.3333333333333333,1.6666666666666667,0.6666666666666666,0.5,0.375,D
23/01/2023BoavistaChaves,Boavista,Chaves,23/01/2023,2.2,1.66,2.24,3.25,3.26,15.5,2,12,10,0,1,1,1,1.0,0.9375,1.6,1.25,0.8,0.8,1.6,1.0,2.5,0.6666666666666666,0.6666666666666666,1.6666666666666667,1.3333333333333333,0.5333333333333333,0.3125,D
26/01/2023Pacos FerreiraBenfica,Pacos Ferreira,Benfica,26/01/2023,1.51,2.52,12.73,1.21,6.4,17.0,2,18,1,1,3,2,0,0.5882352941176471,2.5294117647058822,1.8823529411764706,0.7058823529411765,0.6,1.8,1.6,1.2,3.0,1.0,2.0,1.0,0.6666666666666666,0.47058823529411764,0.7058823529411765,A
29/01/2023Casa PiaSanta Clara,Casa Pia,Santa Clara,29/01/2023,2.45,1.55,2.05,3.84,3.22,17.0,3,5,16,1,0,3,3,0.9411764705882353,0.6470588235294118,0.9411764705882353,1.2352941176470589,0.8,0.6,1.6,1.8,0.0,0.3333333333333333,0.0,1.6666666666666667,2.3333333333333335,0.35294117647058826,0.4117647058823529,H
29/01/2023VizelaRio Ave,Vizela,Rio Ave,29/01/2023,2.14,1.71,1.93,4.02,3.43,17.0,4,9,10,1,0,2,0,1.1176470588235294,1.0,1.0,1.1764705882352942,2.0,0.4,0.8,0.4,1.0,1.6666666666666667,0.0,1.3333333333333333,0.3333333333333333,0.4117647058823529,0.35294117647058826,H
29/01/2023BoavistaPortimonense,Boavista,Portimonense,29/01/2023,2.24,1.64,2.16,3.45,3.28,16.5,6,11,12,1,0,1,4,1.0,0.7647058823529411,1.5625,1.2352941176470589,0.6,0.4,1.4,1.8,2.090909090909091,0.6666666666666666,0.0,0.6666666666666666,1.6666666666666667,0.5,0.4117647058823529,H
29/01/2023FamalicaoEstoril,Famalicao,Estoril,29/01/2023,2.32,1.6,2.1,3.63,3.25,16.5,1,14,13,0,0,0,1,0.9411764705882353,1.0,1.3529411764705883,1.3125,1.2,0.8,1.4,2.2,3.3333333333333335,1.0,0.6666666666666666,1.6666666666666667,1.0,0.47058823529411764,0.25,H
30/01/2023GuimaraesChaves,Guimaraes,Chaves,30/01/2023,2.21,1.66,1.99,3.84,3.37,17.0,3,8,10,0,1,1,1,0.8823529411764706,0.9411764705882353,1.1176470588235294,1.2352941176470589,0.4,1.0,1.2,1.2,3.5714285714285716,0.3333333333333333,1.0,1.0,1.0,0.4117647058823529,0.29411764705882354,H
31/01/2023Pacos FerreiraGil Vicente,Pacos Ferreira,Gil Vicente,31/01/2023,2.14,1.71,3.06,2.38,3.23,17.5,3,18,15,0,3,2,1,0.5555555555555556,1.0,1.8888888888888888,1.411764705882353,0.6,1.4,1.6,1.2,2.142857142857143,0.6666666666666666,1.6666666666666667,1.3333333333333333,1.0,0.4444444444444444,0.5294117647058824,H
31/01/2023AroucaBenfica,Arouca,Benfica,31/01/2023,1.65,2.23,9.37,1.31,5.25,17.5,3,7,1,4,2,0,0,1.2941176470588236,2.5,1.4705882352941178,0.6666666666666666,1.6,1.6,1.4,1.0,2.8,2.3333333333333335,2.3333333333333335,0.3333333333333333,0.6666666666666666,0.47058823529411764,0.6666666666666666,A
01/02/2023MaritimoPorto,Maritimo,Porto,01/02/2023,1.63,2.27,11.68,1.26,5.62,17.0,2,17,3,1,1,0,0,0.6470588235294118,2.411764705882353,1.8235294117647058,0.6470588235294118,0.6,2.8,1.0,0.6,2.8461538461538463,0.6666666666666666,1.6666666666666667,1.0,0.3333333333333333,0.47058823529411764,0.5294117647058824,A
01/02/2023Sp LisbonSp Braga,Sp Lisbon,Sp Braga,01/02/2023,1.81,2.0,1.94,3.72,3.63,17.0,5,4,2,2,2,1,1,1.9411764705882353,2.2941176470588234,1.1176470588235294,0.7647058823529411,1.8,2.4,1.0,0.4,2.6153846153846154,1.3333333333333333,2.3333333333333335,1.3333333333333333,0.3333333333333333,0.7647058823529411,0.5882352941176471,H
04/02/2023Santa ClaraBoavista,Santa Clara,Boavista,04/02/2023,2.49,1.52,2.69,2.81,3.03,17.5,4,16,9,1,4,2,2,0.6666666666666666,1.1764705882352942,1.2777777777777777,1.588235294117647,0.2,1.4,2.0,1.6,3.0,0.3333333333333333,1.6666666666666667,1.6666666666666667,1.3333333333333333,0.4444444444444444,0.5294117647058824,D
