GameIndex,HomeTeam,AwayTeam,Date,AvgO25,AvgU25,AvgA,AvgH,Played,HtPos,AtPos,HtSGLG,AtSGLG,HtCGLG,AtCGLG,HtASGPG,AtASGPG,HtACGPG,AtACGPG,HtASGP5G,AtASGP5G,HtACGP5G,AtACGP5G,AGTM,HtASGP3G,AtASGP3G,HtpercentGO,AtpercentGO,elo_ht,elo_at,win_e_ht,tilt_ht,tilt_at,OvUn25
13/08/2022CheltenhamPortsmouth,Cheltenham,Portsmouth,13/08/2022,1.85,1.92,2.14,3.25,2.0,22,19,0,0,1,0,1.0,1.5,2.0,1.5,1.0,1.5,2.0,1.5,1.5,1.0,1.5,0.5,0.5,977.3903656836775,1000.7684214795216,0.5666945364545286,1.2328669600258892,0.9036011711212332,0
13/08/2022DerbyBarnsley,Derby,Barnsley,13/08/2022,2.16,1.67,4.35,1.85,2.0,11,9,0,1,1,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.0,0.0,1003.1741890716354,1005.5589326414874,0.5960960485935883,0.9384678498393244,0.9376912310186503,1
13/08/2022IpswichMilton Keynes Dons,Ipswich,Milton Keynes Dons,13/08/2022,2.03,1.76,4.41,1.8,2.0,6,23,2,0,1,1,1.5,0.0,1.0,1.0,1.5,0.0,1.0,1.0,1.4,1.5,0.0,0.5,0.0,1042.7705146668857,1106.3012849047705,0.5093088942286417,0.7986656279769967,0.8769093805296595,1
13/08/2022LincolnForest Green,Lincoln,Forest Green,13/08/2022,1.98,1.8,2.8,2.48,2.0,18,13,0,1,0,2,0.5,1.5,0.5,1.5,0.5,1.5,0.5,1.5,0.0,0.5,1.5,0.0,1.0,1002.4912553543386,995.5307073271005,0.6089785259474584,0.9518241945891898,1.0460608650095709,0
13/08/2022MorecambeFleetwood Town,Morecambe,Fleetwood Town,13/08/2022,1.99,1.79,2.81,2.47,2.0,21,12,0,2,3,1,0.0,1.5,1.5,1.5,0.0,1.5,1.5,1.5,1.5,0.0,1.5,0.5,1.0,902.2347995596755,917.5439091158971,0.5780628115008425,1.0793535419175109,1.1278980498591382,0
13/08/2022PlymouthPeterboro,Plymouth,Peterboro,13/08/2022,1.8,1.98,2.69,2.5,2.0,15,1,1,3,2,0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,2.8333333333333335,1.0,3.0,0.5,1.0,1087.1020699311775,1096.6492871015532,0.5861310912066672,0.9510985801212786,1.0521898252552062,0
13/08/2022Port ValeBolton,Port Vale,Bolton,13/08/2022,2.0,1.79,2.22,3.13,2.0,17,3,0,3,4,0,1.0,2.0,2.5,0.5,1.0,2.0,2.5,0.5,3.0,1.0,2.0,1.0,0.5,994.5249996886919,1064.6232297842294,0.49985863553272414,1.0344136076849997,1.0139275736927253,0
13/08/2022Sheffield WedsCharlton,Sheffield Weds,Charlton,13/08/2022,2.0,1.78,5.25,1.65,2.0,7,5,1,1,0,0,2.0,1.5,1.5,1.0,2.0,1.5,1.5,1.0,1.0,2.0,1.5,0.5,0.5,1091.0124889058002,1018.9907045323012,0.693714561591134,1.1281865718257367,0.9046052820325383,0
13/08/2022WycombeShrewsbury,Wycombe,Shrewsbury,13/08/2022,2.1,1.71,3.87,1.96,2.0,16,20,0,0,3,1,1.5,0.0,1.5,0.5,1.5,0.0,1.5,0.5,2.4,1.5,0.0,1.0,0.0,1036.6978168362584,974.0381871329371,0.6821457097108818,1.1127646280031782,0.716614784367377,1
16/08/2022BarnsleyBristol Rvs,Barnsley,Bristol Rvs,16/08/2022,2.01,1.78,3.65,2.0,3.0,18,3,1,1,2,0,0.6666666666666666,2.0,1.0,0.6666666666666666,0.6666666666666666,2.0,1.0,0.6666666666666666,2.0,0.6666666666666666,2.0,0.3333333333333333,0.6666666666666666,1161.8203187695774,836.982066645495,0.906605223595805,1.0637197069027202,0.961107841666698,1
