GameIndex,HomeTeam,AwayTeam,Date,AvgO25,AvgU25,AvgA,AvgH,Played,HtPos,AtPos,HtSGLG,AtSGLG,HtCGLG,AtCGLG,HtASGPG,AtASGPG,HtACGPG,AtACGPG,HtASGP5G,AtASGP5G,HtACGP5G,AtACGP5G,AGTM,HtASGP3G,AtASGP3G,HtpercentGO,AtpercentGO,elo_ht,elo_at,win_e_ht,tilt_ht,tilt_at
21/08/2022NewcastleMan City,Newcastle,Man City,21/08/2022,1.65,2.26,1.37,8.67,2.0,6,3,0,4,0,0,1.0,3.0,0.0,0.0,1.0,3.0,0.0,0.0,3.8,1.0,3.0,0.0,0.5,1133.665567883487,1361.0679771255263,0.28780243374867204,0.9363256071469284,1.3756978306442227
22/08/2022Man UnitedLiverpool,Man United,Liverpool,22/08/2022,1.5,2.58,1.6,5.22,2.0,19,15,0,1,4,1,0.5,1.5,3.0,1.5,0.5,1.5,3.0,1.5,2.3333333333333335,0.5,1.5,1.0,0.5,1047.0397863203268,1325.4409414980512,0.2315368656512664,1.1575023104977085,1.1510368519459406
27/08/2022SouthamptonMan United,Southampton,Man United,27/08/2022,1.59,2.39,1.8,4.27,3.0,12,14,2,2,1,1,1.6666666666666667,1.0,2.3333333333333335,2.3333333333333335,1.6666666666666667,1.0,2.3333333333333335,2.3333333333333335,3.0,1.6666666666666667,1.0,1.0,1.0,980.2283467029098,1077.7783116942762,0.4604353025448616,1.2279368014823508,1.1517541098483668
27/08/2022BrentfordEverton,Brentford,Everton,27/08/2022,2.04,1.8,3.77,2.06,3.0,8,17,2,1,3,1,2.6666666666666665,0.6666666666666666,1.6666666666666667,1.3333333333333333,2.6666666666666665,0.6666666666666666,1.6666666666666667,1.3333333333333333,3.0,2.6666666666666665,0.6666666666666666,1.0,0.3333333333333333,1027.47186676875,962.5230862636903,0.6849959922536848,1.1706866078930926,1.0538716061106088
27/08/2022BrightonLeeds,Brighton,Leeds,27/08/2022,1.82,2.01,4.04,1.91,3.0,5,3,2,3,0,0,1.3333333333333333,2.3333333333333335,0.3333333333333333,1.0,1.3333333333333333,2.3333333333333335,0.3333333333333333,1.0,1.25,1.3333333333333333,2.3333333333333335,0.3333333333333333,1.0,1123.2665911163708,1050.1812155279229,0.6950138975776424,0.8668493892274374,1.1919066717260254
27/08/2022ChelseaLeicester,Chelsea,Leicester,27/08/2022,1.64,2.28,7.52,1.42,3.0,11,19,0,1,3,2,1.0,1.6666666666666667,1.6666666666666667,2.6666666666666665,1.0,1.6666666666666667,1.6666666666666667,2.6666666666666665,2.1666666666666665,1.0,1.6666666666666667,0.6666666666666666,1.0,1158.440050953796,1028.7445671538883,0.7594268148507342,1.0765420879376115,1.2372672504129976
27/08/2022LiverpoolBournemouth,Liverpool,Bournemouth,27/08/2022,1.36,3.16,25.51,1.11,3.0,16,15,1,0,2,3,1.3333333333333333,0.6666666666666666,1.6666666666666667,2.3333333333333335,1.3333333333333333,0.6666666666666666,1.6666666666666667,2.3333333333333335,3.875,1.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,1294.7024161241018,931.846303190785,0.9235593246847347,1.1453207590105174,1.1483765106938184
27/08/2022Man CityCrystal Palace,Man City,Crystal Palace,27/08/2022,1.45,2.77,15.25,1.19,3.0,2,9,3,3,3,1,3.0,1.3333333333333333,1.0,1.3333333333333333,3.0,1.3333333333333333,1.0,1.3333333333333333,3.0,3.0,1.3333333333333333,0.6666666666666666,0.3333333333333333,1352.580074475473,1071.5860977779375,0.8829310202477255,1.4350734839951653,0.9436334461120924
27/08/2022ArsenalFulham,Arsenal,Fulham,27/08/2022,1.49,2.62,9.44,1.32,3.0,1,7,3,3,0,2,3.0,1.6666666666666667,0.6666666666666666,1.3333333333333333,3.0,1.6666666666666667,0.6666666666666666,1.3333333333333333,4.0,3.0,1.6666666666666667,0.6666666666666666,0.6666666666666666,1200.9642808792435,942.1694438488187,0.869062533191935,1.157905421294752,0.8561442179467585
28/08/2022Aston VillaWest Ham,Aston Villa,West Ham,28/08/2022,1.88,1.95,3.18,2.3,3.0,15,20,1,0,3,2,1.0,0.0,2.0,1.6666666666666667,1.0,0.0,2.0,1.6666666666666667,2.8333333333333335,1.0,0.0,0.6666666666666666,0.0,999.6696779259474,1011.1257575261379,0.5834630364377408,1.0693914885239393,1.0168963796082493
