GameIndex,HomeTeam,AwayTeam,Date,AvgO25,AvgU25,AvgA,AvgH,Played,HtPos,AtPos,HtSGLG,AtSGLG,HtCGLG,AtCGLG,HtASGPG,AtASGPG,HtACGPG,AtACGPG,HtASGP5G,AtASGP5G,HtACGP5G,AtACGP5G,AGTM,HtASGP3G,AtASGP3G,HtpercentGO,AtpercentGO,elo_ht,elo_at,win_e_ht,tilt_ht,tilt_at,OvUn25
16/09/2020Paris SGMetz,Paris SG,Metz,16/09/2020,1.47,2.64,9.36,1.26,2.0,18,17,0,0,1,1,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,4.2,0.0,0.0,0.0,0.0,1213.307569052759,948.5106425666789,0.872944283632445,1.3900318309867905,0.9423341221145164,0
17/09/2020MarseilleSt Etienne,Marseille,St Etienne,17/09/2020,2.12,1.73,3.95,2.01,2.0,5,4,1,2,0,0,2.0,2.0,1.0,0.0,2.0,2.0,1.0,0.0,2.375,2.0,2.0,0.5,0.0,1193.2433041761303,1005.3741985391006,0.8152383481945411,1.0120042157046423,1.0170153225206302,0
18/09/2020LyonNimes,Lyon,Nimes,18/09/2020,1.53,2.52,9.76,1.31,3.0,11,13,1,2,2,4,1.6666666666666667,2.3333333333333335,1.0,2.0,1.6666666666666667,2.3333333333333335,1.0,2.0,3.6666666666666665,1.6666666666666667,2.3333333333333335,0.6666666666666666,1.0,1098.3014994624846,989.1346850838821,0.7371808488639399,1.1122245569391056,1.285033326192082,0
19/09/2020LensBordeaux,Lens,Bordeaux,19/09/2020,2.35,1.6,3.32,2.36,3.0,6,10,3,0,2,0,1.6666666666666667,0.6666666666666666,1.3333333333333333,0.0,1.6666666666666667,0.6666666666666666,1.3333333333333333,0.0,0.0,1.6666666666666667,0.6666666666666666,0.6666666666666666,0.0,1034.4548937969737,1010.7247653833447,0.6317086586061201,1.011446624423748,0.9725181457195664,1
19/09/2020RennesMonaco,Rennes,Monaco,19/09/2020,1.84,1.98,3.1,2.32,3.0,2,4,4,2,2,1,2.3333333333333335,1.6666666666666667,1.3333333333333333,1.0,2.3333333333333335,1.6666666666666667,1.3333333333333333,1.0,3.5714285714285716,2.3333333333333335,1.6666666666666667,0.6666666666666666,0.6666666666666666,1116.3525432447689,1142.730662238986,0.5624491327615542,0.9295895555704818,1.1913093627273184,1
20/09/2020NiceParis SG,Nice,Paris SG,20/09/2020,1.77,2.06,1.42,7.45,3.0,7,15,1,1,3,0,1.6666666666666667,0.3333333333333333,1.3333333333333333,0.6666666666666666,1.6666666666666667,0.3333333333333333,1.3333333333333333,0.6666666666666666,3.4285714285714284,1.6666666666666667,0.3333333333333333,0.6666666666666666,0.0,1040.9470046678466,1218.3897977074612,0.3501248564504726,0.9922142254953971,1.341754133946462,1
20/09/2020BrestLorient,Brest,Lorient,20/09/2020,2.11,1.74,3.11,2.38,3.0,16,14,2,2,0,3,1.3333333333333333,1.6666666666666667,2.3333333333333335,2.0,1.3333333333333333,1.6666666666666667,2.3333333333333335,2.0,0.0,1.3333333333333333,1.6666666666666667,0.6666666666666666,0.6666666666666666,990.022364101175,896.9902416635846,0.7187942074282101,1.1133161048679385,1.2329294067819,1
20/09/2020MetzReims,Metz,Reims,20/09/2020,2.87,1.42,3.1,2.63,3.0,18,17,0,0,1,1,0.0,0.6666666666666666,1.0,1.3333333333333333,0.0,0.6666666666666666,1.0,1.3333333333333333,1.5,0.0,0.6666666666666666,0.0,0.3333333333333333,943.4284139119767,1055.7078480002367,0.43945357502175547,0.9096055757287028,0.7601580494286586,1
20/09/2020MontpellierAngers,Montpellier,Angers,20/09/2020,2.3,1.62,3.6,2.14,3.0,6,8,2,1,1,0,2.0,0.6666666666666666,1.3333333333333333,0.6666666666666666,2.0,0.6666666666666666,1.3333333333333333,0.6666666666666666,1.75,2.0,0.6666666666666666,1.0,0.0,1087.1777258944546,979.7138832906985,0.7352771350108197,0.9398409821283702,0.8424626956361019,1
20/09/2020StrasbourgDijon,Strasbourg,Dijon,20/09/2020,2.08,1.75,5.15,1.7,3.0,20,19,0,0,2,2,0.3333333333333333,0.3333333333333333,2.3333333333333335,2.3333333333333335,0.3333333333333333,0.3333333333333333,2.3333333333333335,2.3333333333333335,2.8,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,948.4517034886359,934.4882996764992,0.6185344171059725,0.9583311043352228,1.044989026162067,0
20/09/2020NantesSt Etienne,Nantes,St Etienne,20/09/2020,2.41,1.58,3.25,2.32,3.0,13,2,1,2,2,0,1.0,2.0,1.0,0.0,1.0,2.0,1.0,0.0,2.375,1.0,2.0,0.6666666666666666,0.0,1026.5858854359176,1037.9837324668822,0.5835445024370312,0.807320775351108,1.005690083442081,1
20/09/2020MarseilleLille,Marseille,Lille,20/09/2020,2.38,1.59,3.22,2.34,3.0,9,4,0,1,2,0,1.3333333333333333,1.0,1.3333333333333333,0.3333333333333333,1.3333333333333333,1.0,1.3333333333333333,0.3333333333333333,2.625,1.3333333333333333,1.0,0.3333333333333333,0.0,1160.6337702483486,1156.9496893706814,0.6044781915834678,1.0007347791115448,0.9792659571890412,0
25/09/2020LilleNantes,Lille,Nantes,25/09/2020,2.27,1.63,5.55,1.68,4.0,5,14,1,2,1,2,1.0,1.25,0.5,1.25,1.0,1.25,0.5,1.25,2.75,1.0,1.6666666666666667,0.0,0.75,1161.1288170340201,1023.2441053384364,0.7679337536300993,0.9702732897452844,0.8465021054172907,0
26/09/2020St EtienneRennes,St Etienne,Rennes,26/09/2020,2.2,1.67,2.62,2.84,4.0,2,3,2,2,2,1,2.0,2.25,0.5,1.25,2.0,2.25,0.5,1.25,2.5714285714285716,2.0,2.6666666666666665,0.25,0.75,1041.3255125643634,1133.8545779343067,0.467623434186547,1.054498780439249,0.9334748292807225,1
26/09/2020MarseilleMetz,Marseille,Metz,26/09/2020,2.21,1.67,5.68,1.66,4.0,7,17,1,2,1,1,1.25,0.5,1.25,1.0,1.25,0.5,1.25,1.0,3.2,0.6666666666666666,0.6666666666666666,0.25,0.25,1156.4546425850099,965.8502709111065,0.817598241994597,0.9915449619818003,0.9430562508999301,0
27/09/2020BordeauxNice,Bordeaux,Nice,27/09/2020,2.31,1.61,3.54,2.18,4.0,13,10,1,0,2,3,0.75,1.25,0.5,1.75,0.75,1.25,0.5,1.75,1.25,1.0,1.0,0.25,0.75,995.9931117275895,1026.9420104098276,0.5559635817244749,0.9832132135114215,0.9873210958415787,0
27/09/2020AngersBrest,Angers,Brest,27/09/2020,2.18,1.68,3.76,2.08,4.0,11,9,1,3,4,2,0.75,1.75,1.5,2.25,0.75,1.75,1.5,2.25,1.0,0.6666666666666666,2.3333333333333335,0.25,0.75,969.1249686911312,1001.2705958040466,0.5542622774695417,0.9067405392129327,1.1387579441092428,1
27/09/2020DijonMontpellier,Dijon,Montpellier,27/09/2020,1.91,1.89,1.84,4.22,4.0,20,4,0,4,1,1,0.25,2.5,2.0,1.25,0.25,2.5,2.0,1.25,3.375,0.3333333333333333,3.0,0.25,1.0,919.229676360738,1097.7666404940219,0.34869305568238157,1.0136091886122205,1.011548550842412,1
27/09/2020MonacoStrasbourg,Monaco,Strasbourg,27/09/2020,1.83,1.97,4.23,1.86,4.0,7,18,1,1,2,0,1.5,0.5,1.25,1.75,1.5,0.5,1.25,1.75,4.0,1.3333333333333333,0.3333333333333333,0.75,0.25,1125.2286275494482,963.710326804397,0.7912912672978094,1.1962885096207312,0.929553506082875,1
27/09/2020NimesLens,Nimes,Lens,27/09/2020,2.01,1.8,2.69,2.65,4.0,15,5,0,2,0,1,1.75,1.75,1.5,1.25,1.75,1.75,1.5,1.25,0.0,1.0,2.0,0.75,0.75,998.6219190384397,1049.186547452729,0.5279406099619288,1.2207816598824779,1.0225698001338026,0
27/09/2020LorientLyon,Lorient,Lyon,27/09/2020,1.76,2.06,1.61,5.33,4.0,17,12,2,0,3,0,1.75,1.25,2.25,0.75,1.75,1.25,2.25,0.75,3.0,1.3333333333333333,0.3333333333333333,0.75,0.5,885.742009960713,1088.814265507927,0.31733950124663546,1.261104685686127,1.0566133290921502,0
27/09/2020ReimsParis SG,Reims,Paris SG,27/09/2020,1.52,2.52,1.25,11.43,4.0,19,8,1,3,2,0,0.75,1.0,1.5,0.5,0.75,1.0,1.5,0.5,3.6666666666666665,0.3333333333333333,1.3333333333333333,0.5,0.25,1033.2859910011068,1232.3947919654802,0.32230260407020783,0.7881128033008094,1.3351372393563155,0
02/10/2020Paris SGAngers,Paris SG,Angers,02/10/2020,1.22,4.16,23.63,1.09,5.0,7,8,2,3,0,2,1.2,1.2,0.4,1.6,1.2,1.2,0.4,1.6,3.2857142857142856,2.0,1.6666666666666667,0.2,0.4,1245.2868961282884,986.9544775923496,0.8687593309132607,1.319134533179993,0.9492184869071693,1
