GameIndex,HomeTeam,AwayTeam,Date,AvgO25,AvgU25,AvgA,AvgH,Played,HtPos,AtPos,HtSGLG,AtSGLG,HtCGLG,AtCGLG,HtASGPG,AtASGPG,HtACGPG,AtACGPG,HtASGP5G,AtASGP5G,HtACGP5G,AtACGP5G,AGTM,HtASGP3G,AtASGP3G,HtpercentGO,AtpercentGO,elo_ht,elo_at,win_e_ht,tilt_ht,tilt_at,HtACGP3G,AtACGP3G,OvUn25
20/08/2023West HamChelsea,West Ham,Chelsea,20/08/2023,1.92,1.91,2.04,3.66,1.0,13,12,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.2857142857142856,1.0,1.0,0.0,0.0,1016.2355708841512,1016.7351024829773,0.5987061255103131,1.0747752538318112,0.906622153730406,1.0,1.0,1
21/08/2023Crystal PalaceArsenal,Crystal Palace,Arsenal,21/08/2023,1.92,1.9,1.6,5.79,1.0,9,8,1,2,0,1,1.0,2.0,0.0,1.0,1.0,2.0,0.0,1.0,3.4285714285714284,1.0,2.0,0.0,1.0,1060.5700068573951,1231.9979572021036,0.35804346340683235,0.8829127378249194,1.3444256444423122,0.0,1.0,0
25/08/2023ChelseaLuton,Chelsea,Luton,25/08/2023,1.66,2.27,10.78,1.29,1.5,15,18,1,1,3,4,1.0,1.0,2.0,4.0,1.0,1.0,2.0,4.0,0.0,1.0,1.0,0.5,1.0,1000.6833475033898,990.1636527683914,0.6138461880307442,0.9357252123635719,1.0294694308158898,2.0,4.0,1
26/08/2023BournemouthTottenham,Bournemouth,Tottenham,26/08/2023,1.55,2.47,1.95,3.67,2.0,15,6,1,2,3,0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,3.1,1.0,2.0,0.5,0.5,949.6812415904467,1124.0361130058131,0.35418014649398005,1.0427351610524167,1.338981065575487,2.0,1.0,0
26/08/2023ArsenalFulham,Arsenal,Fulham,26/08/2023,1.48,2.67,13.35,1.23,2.0,3,14,1,0,0,3,1.5,0.5,0.5,1.5,1.5,0.5,0.5,1.5,3.6666666666666665,1.5,0.5,0.5,0.5,1246.3196957383768,1032.6101593620629,0.8366025284528309,1.2998566574507202,1.017132999950716,0.5,1.5,1
26/08/2023BrentfordCrystal Palace,Brentford,Crystal Palace,26/08/2023,2.13,1.74,3.57,2.14,2.0,4,11,3,0,0,1,2.5,0.5,1.0,0.5,2.5,0.5,1.0,0.5,1.0,2.5,0.5,1.0,0.0,1163.114158370831,1046.248268321122,0.7456768320082487,0.9988396887929523,0.853643342013035,1.0,0.5,0
26/08/2023EvertonWolves,Everton,Wolves,26/08/2023,2.12,1.74,3.24,2.32,2.0,19,18,0,1,4,4,0.0,0.5,2.5,2.5,0.0,0.5,2.5,2.5,2.9,0.0,0.5,0.5,0.5,973.056993681867,987.5974482130606,0.5791416571457614,0.9982442473341177,0.9533947412302771,2.5,2.5,0
26/08/2023Man UnitedNott'm Forest,Man United,Nott'm Forest,26/08/2023,1.52,2.56,9.23,1.31,2.0,13,12,0,2,2,1,0.5,1.5,1.0,1.5,0.5,1.5,1.0,1.5,2.5,0.5,1.5,0.0,1.0,1187.5053665869389,1009.9749555399785,0.8061053680546647,0.9413298435774974,1.1224352535868714,1.0,1.5,1
26/08/2023BrightonWest Ham,Brighton,West Ham,26/08/2023,1.49,2.63,5.73,1.53,2.0,1,7,4,3,1,1,4.0,2.0,1.0,1.0,4.0,2.0,1.0,1.0,3.1666666666666665,4.0,2.0,1.0,0.5,1151.0575618669127,1032.2873258637387,0.7477501490622241,1.3390795173508334,1.1092761173955799,1.0,1.0,1
27/08/2023BurnleyAston Villa,Burnley,Aston Villa,27/08/2023,1.85,1.99,2.16,3.36,1.5,18,13,0,4,3,0,0.0,2.5,3.0,2.5,0.0,2.5,3.0,2.5,3.0,0.0,2.5,1.0,1.0,965.2621585081428,1155.6411918273602,0.3333755038858839,0.9056363887001521,1.0266575566395324,3.0,2.5,1
27/08/2023Sheffield UnitedMan City,Sheffield United,Man City,27/08/2023,1.57,2.41,1.18,16.67,2.0,17,5,1,1,2,0,0.5,2.0,1.5,0.0,0.5,2.0,1.5,0.0,1.25,0.5,2.0,0.5,0.5,875.3449097864908,1354.5382678778096,0.08662909510888239,0.8012304324414835,1.1583970430596802,1.5,0.0,1
27/08/2023NewcastleLiverpool,Newcastle,Liverpool,27/08/2023,1.49,2.64,3.03,2.2,2.0,12,8,0,3,1,1,2.5,2.0,1.0,1.0,2.5,2.0,1.0,1.0,2.75,2.5,2.0,0.5,0.5,1195.9364250401297,1224.6707460065113,0.559108402875548,1.0914404551190688,1.2054348480053847,1.0,1.0,1
