GameIndex,HomeTeam,AwayTeam,Date,AvgO25,AvgU25,AvgA,AvgH,Played,HtPos,AtPos,HtSGLG,AtSGLG,HtCGLG,AtCGLG,HtASGPG,AtASGPG,HtACGPG,AtACGPG,HtASGP5G,AtASGP5G,HtACGP5G,AtACGP5G,AGTM,HtASGP3G,AtASGP3G,HtpercentGO,AtpercentGO,elo_ht,elo_at,win_e_ht,tilt_ht,tilt_at,HtACGP3G,AtACGP3G,OvUn25
25/08/2019RB LeipzigEin Frankfurt,RB Leipzig,Ein Frankfurt,25/08/2019,1.5,2.59,6.06,1.49,1.0,6,7,4,1,0,0,4.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,2.5,4.0,1.0,1.0,0.0,1171.5003276382315,1053.1944640895608,0.74724560740219,1.0848479201357548,1.0790790393870504,0.0,0.0,1
25/08/2019HerthaWolfsburg,Hertha,Wolfsburg,25/08/2019,1.75,2.09,2.87,2.42,1.0,11,8,2,2,2,1,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.8333333333333335,2.0,2.0,1.0,1.0,982.5569775041578,1069.3108902938143,0.4759078524912903,1.1305415558809446,1.1833935501512738,2.0,1.0,1
30/08/2019M'gladbachRB Leipzig,M'gladbach,RB Leipzig,30/08/2019,1.6,2.35,2.11,3.28,2.0,7,3,3,2,1,1,1.5,3.0,0.5,0.5,1.5,3.0,0.5,0.5,2.5,1.5,3.0,0.5,1.0,1031.2693520436264,1181.6105033421438,0.3863974641245868,0.9762501543637986,1.086208494634336,0.5,0.5,1
31/08/2019Bayern MunichMainz,Bayern Munich,Mainz,31/08/2019,1.24,3.93,28.84,1.09,2.0,6,18,3,1,0,3,2.5,0.5,1.0,3.0,2.5,0.5,1.0,3.0,3.8333333333333335,2.5,0.5,1.0,1.0,1276.9079588502643,958.4711279670781,0.9034379951440474,1.3472533897851615,1.179454208836595,1.0,3.0,1
31/08/2019FreiburgFC Koln,Freiburg,FC Koln,31/08/2019,1.73,2.11,2.87,2.45,2.0,3,15,3,1,1,3,3.0,1.0,0.5,2.5,3.0,1.0,0.5,2.5,4.5,3.0,1.0,1.0,1.0,983.173946687863,850.7701443927192,0.7622636025453453,1.183189531948892,1.269165750438228,0.5,2.5,1
31/08/2019LeverkusenHoffenheim,Leverkusen,Hoffenheim,31/08/2019,1.35,3.17,5.08,1.55,2.0,5,10,3,3,1,2,3.0,1.5,1.5,1.5,3.0,1.5,1.5,1.5,3.8333333333333335,3.0,1.5,1.0,0.5,1143.7008692527531,1053.7459751322467,0.7151998660870806,1.3567464552431534,1.331183568430216,1.5,1.5,0
31/08/2019Schalke 04Hertha,Schalke 04,Hertha,31/08/2019,1.83,1.98,3.51,2.12,2.0,12,11,0,0,3,3,0.0,1.0,1.5,2.5,0.0,1.0,1.5,2.5,2.1666666666666665,0.0,1.0,0.5,1.0,958.7682661997416,963.5206634045062,0.5928103277826051,0.9226788767539408,1.124716123361481,1.5,2.5,1
31/08/2019WolfsburgPaderborn,Wolfsburg,Paderborn,31/08/2019,1.39,2.96,6.46,1.46,2.0,4,16,3,1,0,3,2.5,1.5,0.5,3.0,2.5,1.5,0.5,3.0,0.0,2.5,1.5,1.0,1.0,1088.347204393466,963.9673086255714,0.7537921605683938,1.1772957829046706,1.0429363040272308,0.5,3.0,0
31/08/2019Union BerlinDortmund,Union Berlin,Dortmund,31/08/2019,1.46,2.7,1.32,8.99,2.0,14,2,1,3,1,1,0.5,4.0,2.5,1.0,0.5,4.0,2.5,1.0,0.0,0.5,4.0,0.5,1.0,984.1245987974999,1201.5032263645685,0.2997728886350194,1.0034771406903586,1.3230658927812162,2.5,1.0,1
01/09/2019Werder BremenAugsburg,Werder Bremen,Augsburg,01/09/2019,1.59,2.36,4.77,1.7,2.0,17,15,2,1,3,1,1.5,1.0,3.0,3.0,1.5,1.0,3.0,3.0,4.0,1.5,1.0,1.0,0.5,1058.662220090107,902.6290901840958,0.7860286792678358,1.1223560250713542,1.343700185533201,3.0,3.0,1
