GameIndex,HomeTeam,AwayTeam,Date,AvgO25,AvgU25,AvgA,AvgH,Played,HtPos,AtPos,HtSGLG,AtSGLG,HtCGLG,AtCGLG,HtASGPG,AtASGPG,HtACGPG,AtACGPG,HtASGP5G,AtASGP5G,HtACGP5G,AtACGP5G,AGTM,HtASGP3G,AtASGP3G,HtpercentGO,AtpercentGO,elo_ht,elo_at,win_e_ht,tilt_ht,tilt_at,OvUn25
03/10/2020VitesseHeracles,Vitesse,Heracles,03/10/2020,1.58,2.36,4.73,1.66,3.0,6,11,1,1,2,1,1.3333333333333333,1.0,0.6666666666666666,1.6666666666666667,1.3333333333333333,1.0,0.6666666666666666,1.6666666666666667,2.4285714285714284,1.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,1055.8718573614262,1023.8295056698756,0.6427690504714297,1.0874620670606752,1.0336933151406313,1
03/10/2020VVV VenloDen Haag,VVV Venlo,Den Haag,03/10/2020,1.74,2.09,3.71,1.94,3.0,10,16,0,2,1,4,2.0,0.6666666666666666,1.6666666666666667,2.3333333333333335,2.0,0.6666666666666666,1.6666666666666667,2.3333333333333335,2.6,2.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,977.6047652835562,896.5374358369278,0.7046652590461189,1.0242195632041393,1.1050068453922492,1
03/10/2020TwenteFC Emmen,Twente,FC Emmen,03/10/2020,1.67,2.19,4.0,1.83,3.0,4,14,3,1,1,1,2.0,1.6666666666666667,0.6666666666666666,2.6666666666666665,2.0,1.6666666666666667,0.6666666666666666,2.6666666666666665,3.5,2.0,1.6666666666666667,0.3333333333333333,0.6666666666666666,953.5136575001278,980.4291968225771,0.561687641098601,1.0400442684520248,1.1409519211691486,0
04/10/2020GroningenAjax,Groningen,Ajax,04/10/2020,1.48,2.61,1.41,6.65,3.0,12,2,1,2,3,1,1.0,2.0,2.0,0.3333333333333333,1.0,2.0,2.0,0.3333333333333333,2.5,1.0,2.0,0.6666666666666666,0.6666666666666666,998.9577927964951,1271.9377466576009,0.23713589427425547,0.7728468138053498,1.2522281982623342,0
04/10/2020Sparta RotterdamAZ Alkmaar,Sparta Rotterdam,AZ Alkmaar,04/10/2020,1.6,2.31,1.67,4.62,2.5,18,14,0,3,4,3,0.0,2.0,2.3333333333333335,2.0,0.0,2.0,2.3333333333333335,2.0,3.0,0.0,2.0,0.3333333333333333,0.5,927.0536215310324,1179.9008748483575,0.2587350795649188,1.1803911330150658,1.0670652913290513,1
04/10/2020Willem IIFeyenoord,Willem II,Feyenoord,04/10/2020,1.57,2.38,1.77,4.03,3.0,8,5,1,4,1,2,1.6666666666666667,2.3333333333333335,1.0,1.0,1.6666666666666667,2.3333333333333335,1.0,1.0,3.0,1.6666666666666667,2.3333333333333335,0.3333333333333333,0.3333333333333333,1078.715410292624,1222.6956657413987,0.39511426199929633,1.1058428484050904,1.2087321855574367,1
04/10/2020PSV EindhovenFor Sittard,PSV Eindhoven,For Sittard,04/10/2020,1.39,2.91,13.26,1.19,3.0,6,16,1,3,1,3,2.0,1.3333333333333333,1.0,2.6666666666666665,2.0,1.3333333333333333,1.0,2.6666666666666665,4.333333333333333,2.0,1.3333333333333333,0.6666666666666666,0.6666666666666666,1223.732625771096,914.3273206774738,0.8988064320278313,1.131421075168765,1.1057611596760197,0
17/10/2020HeraclesWaalwijk,Heracles,Waalwijk,17/10/2020,1.58,2.34,5.52,1.54,3.5,12,18,0,1,3,3,0.75,0.3333333333333333,2.0,2.3333333333333335,0.75,0.3333333333333333,2.0,2.3333333333333335,4.0,0.3333333333333333,0.3333333333333333,0.5,0.6666666666666666,1009.5402676887328,843.8608962393927,0.795219502471591,1.0371829877052805,1.0703310476492827,0
17/10/2020AZ AlkmaarVVV Venlo,AZ Alkmaar,VVV Venlo,17/10/2020,1.42,2.8,10.93,1.24,3.5,13,10,4,1,4,2,2.6666666666666665,1.75,2.6666666666666665,1.75,2.6666666666666665,1.75,2.6666666666666665,1.75,2.0,2.6666666666666665,0.6666666666666666,0.6666666666666666,0.5,1170.2502780309542,949.4181549217114,0.8421302381090375,1.14926031709185,1.0273068912039285,1
17/10/2020Willem IITwente,Willem II,Twente,17/10/2020,1.77,2.04,3.54,2.03,4.0,11,6,1,1,4,1,1.5,1.75,1.75,0.75,1.5,1.75,1.75,0.75,2.4,2.0,1.6666666666666667,0.5,0.25,1062.9108398126523,951.0461518561838,0.7401786503952277,1.1332820183424053,1.0231004998752076,1
18/10/2020FeyenoordSparta Rotterdam,Feyenoord,Sparta Rotterdam,18/10/2020,1.43,2.78,7.74,1.35,4.0,2,18,4,4,1,4,2.75,1.0,1.0,2.75,2.75,1.0,1.0,2.75,4.6,3.0,1.3333333333333333,0.5,0.5,1238.5002362213704,936.7042183484356,0.894752264250075,1.2387243385076026,1.271315540712283,0
18/10/2020AjaxHeerenveen,Ajax,Heerenveen,18/10/2020,1.25,3.82,11.45,1.2,4.0,6,3,0,1,1,1,1.5,1.75,0.5,0.5,1.5,1.75,0.5,0.5,4.625,1.6666666666666667,1.6666666666666667,0.5,0.25,1241.4231824285712,1043.9953248823595,0.8233830841782701,1.2154951379040586,1.139063270202386,1
