GameIndex,HomeTeam,AwayTeam,Date,AvgO25,AvgU25,AvgA,AvgH,Played,HtPos,AtPos,HtSGLG,AtSGLG,HtCGLG,AtCGLG,HtASGPG,AtASGPG,HtACGPG,AtACGPG,HtASGP5G,AtASGP5G,HtACGP5G,AtACGP5G,AGTM,HtASGP3G,AtASGP3G,HtpercentGO,AtpercentGO,elo_ht,elo_at,win_e_ht,tilt_ht,tilt_at,HtACGP3G,AtACGP3G,OvUn25
09/09/17AjaxZwolle,Ajax,Zwolle,09/09/17,1.36,3.01,11.75,1.21,3.0,6,3,2,2,0,0,2.0,2.3333333333333335,1.0,1.0,2.0,2.3333333333333335,1.0,1.0,5.0,2.0,2.3333333333333335,0.6666666666666666,0.3333333333333333,1208.5656335634667,962.2497344204472,0.8606693703782597,1.1394796314434208,1.2077239549808265,1.0,1.0,1
09/09/17ExcelsiorVitesse,Excelsior,Vitesse,09/09/17,1.75,2.04,2.22,3.1,3.0,11,5,2,1,2,2,1.3333333333333333,2.6666666666666665,1.3333333333333333,1.3333333333333333,1.3333333333333333,2.6666666666666665,1.3333333333333333,1.3333333333333333,2.5,1.3333333333333333,2.6666666666666665,0.6666666666666666,1.0,998.7162049085991,1024.886847581739,0.5627430354739772,1.112418239509033,1.069635333455919,1.3333333333333333,1.3333333333333333,1
09/09/17HeraclesFeyenoord,Heracles,Feyenoord,09/09/17,1.49,2.52,1.45,6.22,3.0,10,1,2,5,2,0,1.6666666666666667,2.6666666666666665,1.3333333333333333,0.3333333333333333,1.6666666666666667,2.6666666666666665,1.3333333333333333,0.3333333333333333,2.5,1.6666666666666667,2.6666666666666665,0.6666666666666666,0.6666666666666666,1004.9464878513729,1215.947011638829,0.3075359653182538,1.212547548216829,1.212628821186363,1.3333333333333333,0.3333333333333333,1
09/09/17Willem IIDen Haag,Willem II,Den Haag,09/09/17,1.95,1.84,3.08,2.27,3.0,18,16,0,1,5,2,0.3333333333333333,0.3333333333333333,3.0,2.3333333333333335,0.3333333333333333,0.3333333333333333,3.0,2.3333333333333335,2.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,889.9099462195621,919.4284493582801,0.5579953503473329,0.9119027365604602,1.092867685044713,3.0,2.3333333333333335,1
10/09/17AZ AlkmaarNAC Breda,AZ Alkmaar,NAC Breda,10/09/17,1.43,2.72,8.34,1.32,3.0,7,15,2,2,1,2,2.0,1.3333333333333333,1.3333333333333333,3.3333333333333335,2.0,1.3333333333333333,1.3333333333333333,3.3333333333333335,0.0,2.0,1.3333333333333333,0.6666666666666666,1.0,1029.1973020341436,965.1300064613012,0.6839000652277193,1.228565209109809,1.1050542354310997,1.3333333333333333,3.3333333333333335,1
10/09/17GroningenVVV Venlo,Groningen,VVV Venlo,10/09/17,1.75,2.05,3.5,2.02,3.0,11,8,2,0,1,2,2.0,1.6666666666666667,2.3333333333333335,1.0,2.0,1.6666666666666667,2.3333333333333335,1.0,0.0,2.0,1.6666666666666667,1.0,0.6666666666666666,1029.892742315792,1016.7736075193017,0.6173870426333581,1.2949475185462926,0.991912487496019,2.3333333333333335,1.0,0
10/09/17HeerenveenPSV Eindhoven,Heerenveen,PSV Eindhoven,10/09/17,1.46,2.62,1.59,4.94,3.0,9,4,2,2,1,0,2.0,3.0,1.6666666666666667,1.0,2.0,3.0,1.6666666666666667,1.0,4.5,2.0,3.0,0.6666666666666666,0.6666666666666666,945.0406415575336,1223.4465316235412,0.23153201605657342,1.2011558749706546,1.1381133316302852,1.6666666666666667,1.0,0
10/09/17Sparta RotterdamTwente,Sparta Rotterdam,Twente,10/09/17,1.68,2.13,3.02,2.24,3.0,14,16,2,0,2,2,1.0,0.6666666666666666,2.0,2.0,1.0,0.6666666666666666,2.0,2.0,2.5,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,901.5572492154856,912.8074794317617,0.5837509944472197,1.1278867974517124,1.0762011474573079,2.0,2.0,0
10/09/17UtrechtRoda,Utrecht,Roda,10/09/17,1.67,2.15,8.34,1.35,3.0,6,17,1,0,2,2,2.0,1.0,0.6666666666666666,3.0,2.0,1.0,0.6666666666666666,3.0,0.5,2.0,1.0,0.6666666666666666,0.6666666666666666,1129.5795145212103,904.5610965399486,0.8453076748942426,0.9955229316715406,1.003848626478853,0.6666666666666666,3.0,0
15/09/17Sparta RotterdamAZ Alkmaar,Sparta Rotterdam,AZ Alkmaar,15/09/17,1.62,2.26,1.8,4.05,4.0,12,6,1,2,0,1,1.0,2.0,1.5,1.25,1.0,2.0,1.5,1.25,2.0,1.3333333333333333,2.0,0.5,0.75,918.2072094375968,1041.8412994250348,0.42342167576348466,1.0900763441018768,1.2214329262418737,1.0,0.6666666666666666,0
