GameIndex,HomeTeam,AwayTeam,Date,AvgO25,AvgU25,AvgA,AvgH,Played,HtPos,AtPos,HtSGLG,AtSGLG,HtCGLG,AtCGLG,HtASGPG,AtASGPG,HtACGPG,AtACGPG,HtASGP5G,AtASGP5G,HtACGP5G,AtACGP5G,AGTM,HtASGP3G,AtASGP3G,HtpercentGO,AtpercentGO,elo_ht,elo_at,win_e_ht,tilt_ht,tilt_at
20/08/2021Fortuna DusseldorfHolstein Kiel,Fortuna Dusseldorf,Holstein Kiel,20/08/2021,1.71,2.11,4.1,1.83,3.0,14,17,0,0,2,3,1.3333333333333333,0.0,1.6666666666666667,3.0,1.3333333333333333,0.0,1.6666666666666667,3.0,2.75,1.3333333333333333,0.0,0.3333333333333333,1.0,1035.7363429053041,996.5298719811971,0.6521816983937736,1.189344745833793,1.1105771500780226
20/08/2021HannoverHeidenheim,Hannover,Heidenheim,20/08/2021,1.85,1.95,3.06,2.28,3.0,15,7,0,1,2,1,0.3333333333333333,1.0,2.0,0.6666666666666666,0.3333333333333333,1.0,2.0,0.6666666666666666,3.1666666666666665,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,917.6206665200143,1032.7954413479397,0.4353521772691285,1.1808702099711734,1.0184482469876108
21/08/2021KarlsruheWerder Bremen,Karlsruhe,Werder Bremen,21/08/2021,1.7,2.14,3.28,2.14,3.0,3,12,0,1,0,4,2.0,1.6666666666666667,0.3333333333333333,2.3333333333333335,2.0,1.6666666666666667,0.3333333333333333,2.3333333333333335,0.0,2.0,1.6666666666666667,0.6666666666666666,0.6666666666666666,1083.1520449087654,998.1248011322373,0.7093869628215872,1.011454110322632,1.0516597477798633
21/08/2021PaderbornSt Pauli,Paderborn,St Pauli,21/08/2021,1.68,2.18,2.74,2.48,3.0,5,4,4,3,1,2,2.0,2.0,1.0,0.6666666666666666,2.0,2.0,1.0,0.6666666666666666,2.0,2.0,2.0,0.6666666666666666,0.6666666666666666,1050.2937258856773,1043.6927254794696,0.6084855649978936,1.2379465279140245,1.1162216331781336
21/08/2021RegensburgSchalke 04,Regensburg,Schalke 04,21/08/2021,1.78,2.03,2.46,2.81,3.0,1,10,3,1,0,1,2.6666666666666665,1.6666666666666667,0.0,1.3333333333333333,2.6666666666666665,1.6666666666666667,0.0,1.3333333333333333,0.0,2.6666666666666665,1.6666666666666667,0.6666666666666666,0.6666666666666666,1007.9717069031117,999.8954420935231,0.6105068198902088,1.005162427381671,1.0047579796164507
21/08/2021Hansa RostockDresden,Hansa Rostock,Dresden,21/08/2021,1.91,1.89,2.75,2.54,3.0,9,2,1,2,1,0,1.6666666666666667,2.0,1.3333333333333333,0.3333333333333333,1.6666666666666667,2.0,1.3333333333333333,0.3333333333333333,0.0,1.6666666666666667,2.0,0.6666666666666666,0.3333333333333333,1007.6494879877926,968.7464814818763,0.6517853292207276,1.0128997571628606,0.9438989314117799
22/08/2021Erzgebirge AueSandhausen,Erzgebirge Aue,Sandhausen,22/08/2021,2.0,1.8,2.88,2.41,3.0,15,16,1,0,1,0,0.3333333333333333,0.0,0.3333333333333333,1.6666666666666667,0.3333333333333333,0.0,0.3333333333333333,1.6666666666666667,2.7,0.3333333333333333,0.0,0.0,0.3333333333333333,973.6184112883114,903.4776344942675,0.6914090832080537,0.9827820411411086,1.0190633927468589
22/08/2021HamburgDarmstadt,Hamburg,Darmstadt,22/08/2021,1.58,2.33,4.92,1.67,3.0,9,14,2,6,3,1,2.0,2.0,1.6666666666666667,2.0,2.0,2.0,1.6666666666666667,2.0,3.3333333333333335,2.0,2.0,0.6666666666666666,0.6666666666666666,1032.9124600019445,1064.0520911891244,0.5556925176342915,1.3206421012696443,1.3115917625685034
22/08/2021IngolstadtNurnberg,Ingolstadt,Nurnberg,22/08/2021,1.8,2.01,1.97,3.62,3.0,18,6,1,2,6,0,0.6666666666666666,1.3333333333333333,3.6666666666666665,0.6666666666666666,0.6666666666666666,1.3333333333333333,3.6666666666666665,0.6666666666666666,2.5,0.6666666666666666,1.3333333333333333,1.0,0.3333333333333333,927.7028449678818,1036.1744651061567,0.44486006437706593,1.1719287802288603,1.0001587564599985
27/08/2021NurnbergKarlsruhe,Nurnberg,Karlsruhe,27/08/2021,1.97,1.83,3.48,2.11,4.0,6,3,0,0,0,0,1.0,1.5,0.5,0.25,1.0,1.5,0.5,0.25,2.0,1.3333333333333333,1.0,0.25,0.5,1033.9688676812393,1074.776566395902,0.5419125146547307,0.9501508186369986,0.9608814048065003
27/08/2021SandhausenIngolstadt,Sandhausen,Ingolstadt,27/08/2021,1.89,1.9,2.94,2.41,4.0,14,18,3,0,1,0,0.75,0.5,1.5,2.75,0.75,0.5,1.5,2.75,2.0,1.0,0.6666666666666666,0.5,0.75,931.1339978225897,929.9084423927992,0.6010896185636149,1.049511791973261,1.1133323412174172
28/08/2021DarmstadtHannover,Darmstadt,Hannover,28/08/2021,1.58,2.34,2.79,2.4,4.0,10,14,2,1,2,0,2.0,0.5,2.0,1.5,2.0,0.5,2.0,1.5,3.5,2.6666666666666665,0.3333333333333333,0.75,0.25,1066.2797918944962,940.2065794292491,0.755596718804691,1.3065887681463437,1.1414644179911122
