HomeTeam,AwayTeam,AvgO25,AvgU25,AvgA,AvgH,AvgD,Date,GameIndex,TG,FTR,Played,HtPos,AtPos,HtSGLG,AtSGLG,HtCGLG,AtCGLG,HtASGPG,AtASGPG,HtACGPG,AtACGPG,HtASGP5G,AtASGP5G,HtACGP5G,AtACGP5G,HtASGP3G,AtASGP3G,HtACGP3G,AtACGP3G,HtpercentGO,AtpercentGO,AGTM,tilt_ht,tilt_at,elo_ht,elo_at,win_e_ht,ScrapeTime,ScrapeGameIndex,league,oddsportal_link
Farense,Arouca,1.7650000000000001,2.058076923076923,3.24,2.2411538461538463,3.3400000000000003,"06 Nov 2023, 21:15",Predicted_game,unknown,unknown,9.0,12,15,4,0,3,1,1.6666666666666667,1.0,1.5555555555555556,1.5555555555555556,1.8,0.2,1.6,1.4,2.0,0.3333333333333333,2.0,1.6666666666666667,0.6666666666666666,0.3333333333333333,0.0,1.0558446795694398,0.8393509321788432,966.7473272159292,990.5819854616824,0.5660490115319798,2023-11-04T17:58:49.140560+00:00,"SC FarenseArouca06 Nov 2023,",PO,https://www.oddsportal.com/football/portugal/liga-portugal/sc-farense-arouca-S81wX3rO/
Sp Lisbon,Estrela,2.75,1.4383333333333332,11.437692307692306,1.23,6.5761538461538445,"05 Nov 2023, 21:30",Predicted_game,unknown,unknown,8.5,2,9,2,1,1,0,2.125,1.0,0.875,1.3333333333333333,2.2,1.2,0.8,1.4,2.3333333333333335,1.3333333333333333,1.0,1.3333333333333333,0.625,0.3333333333333333,0.0,1.236486975895147,0.9418510251527009,1335.819430807808,1019.1714956917689,0.9025359058364673,2023-11-04T17:57:46.346451+00:00,"Sporting CPEstrela05 Nov 2023,",PO,https://www.oddsportal.com/football/portugal/liga-portugal/sporting-lisbon-estrela-da-amadora-CWZekobh/
Rio Ave,Boavista,1.8011538461538463,2.0130769230769228,2.6630769230769227,2.6326923076923077,3.361923076923077,"05 Nov 2023, 19:00",Predicted_game,unknown,unknown,8.5,17,6,3,1,4,1,1.0,2.25,2.0,1.625,1.0,2.0,2.6,1.8,1.3333333333333333,1.3333333333333333,3.3333333333333335,2.3333333333333335,0.4444444444444444,0.75,2.4166666666666665,1.0349757710653387,1.2776590090989788,919.0554683449478,1078.2337926847342,0.37440813794113864,2023-11-04T17:56:28.459320+00:00,"Rio AveBoavista05 Nov 2023,",PO,https://www.oddsportal.com/football/portugal/liga-portugal/rio-ave-boavista-G4tmi7Tu/
Moreirense,Guimaraes,1.7492307692307691,2.0815384615384613,2.713461538461538,2.646153846153846,3.2646153846153854,"05 Nov 2023, 16:30",Predicted_game,unknown,unknown,9.0,7,4,1,5,0,0,1.3333333333333333,1.8888888888888888,1.1111111111111112,1.1111111111111112,1.4,2.4,0.8,1.0,2.0,3.6666666666666665,0.3333333333333333,1.0,0.5555555555555556,0.6666666666666666,2.0833333333333335,0.9288114107815224,0.9869643234277452,1007.5281317102084,1119.927716220592,0.4392832072733931,2023-11-04T17:55:18.208793+00:00,"MoreirenseVitoria Guimaraes05 Nov 2023,",PO,https://www.oddsportal.com/football/portugal/liga-portugal/moreirense-vitoria-guimaraes-vq5sWNcU/
Casa Pia,Vizela,1.726153846153846,2.111538461538461,3.5276923076923077,2.115384615384615,3.3626923076923068,"05 Nov 2023, 16:30",Predicted_game,unknown,unknown,9.0,13,16,1,0,1,2,0.8888888888888888,1.1111111111111112,0.8888888888888888,1.7777777777777777,0.4,1.0,0.8,1.8,0.3333333333333333,0.6666666666666666,1.3333333333333333,1.6666666666666667,0.2222222222222222,0.5555555555555556,2.5,0.8198133955125744,0.9501584356668418,978.1306791664638,932.7231886739493,0.6602343916276256,2023-11-04T17:54:07.321607+00:00,"Casa PiaVizela05 Nov 2023,",PO,https://www.oddsportal.com/football/portugal/liga-portugal/casa-pia-vizela-6gDUYPDB/
Sp Braga,Portimonense,2.9164,1.4011999999999996,10.26153846153846,1.249615384615385,6.44423076923077,"04 Nov 2023, 21:30",Predicted_game,unknown,unknown,9.0,5,10,3,1,3,0,2.5555555555555554,1.1111111111111112,1.8888888888888888,2.0,2.8,1.4,2.0,1.4,3.0,1.3333333333333333,2.0,1.0,0.8888888888888888,0.5555555555555556,2.6666666666666665,1.3991346500855593,1.0085728197207817,1232.0374488483371,959.5289910633087,0.877786852973129,2023-11-04T17:52:48.150030+00:00,"BragaPortimonense04 Nov 2023,",PO,https://www.oddsportal.com/football/portugal/liga-portugal/braga-portimonense-bT9Mznqa/
Peterboro,Cambridge,2.2772727272727273,1.6072727272727276,5.363478260869566,1.5408695652173916,4.271304347826086,"11 Nov 2023, 13:00",Predicted_game,unknown,unknown,15.5,4,13,4,0,2,0,1.6666666666666667,0.8125,1.0666666666666667,0.9375,2.0,0.4,1.0,0.4,2.3333333333333335,0.3333333333333333,1.3333333333333333,0.0,0.4,0.25,1.5,1.0515283933607145,0.8839570212542619,1168.4403255715101,907.7826077276286,0.8702779806142287,2023-11-04T17:39:51.758114+00:00,"PeterboroughCambridge Utd11 Nov 2023,",E2,https://www.oddsportal.com/football/england/league-one/peterborough-cambridge-utd-t2KaNjaQ/
Reading,Bristol Rvs,2.0147999999999997,1.7688,2.3663999999999996,2.7851999999999997,3.4576000000000007,"07 Nov 2023, 21:00",Predicted_game,unknown,unknown,14.0,23,16,2,2,3,1,0.8571428571428571,1.4285714285714286,1.7142857142857142,1.3571428571428572,1.0,1.6,2.8,1.6,1.0,1.3333333333333333,3.0,2.0,0.5714285714285714,0.5,0.0,1.0706732512078927,0.9660397019627518,899.9555648251193,964.2186891627052,0.5082552774899672,2023-11-04T17:39:07.495009+00:00,"ReadingBristol Rovers07 Nov 2023,",E2,https://www.oddsportal.com/football/england/league-one/reading-bristol-rovers-n900clND/
Wigan,Peterboro,1.8661904761904762,1.9000000000000004,2.072380952380952,3.2780952380952377,3.491428571428571,"07 Nov 2023, 20:45",Predicted_game,unknown,unknown,15.0,10,4,2,4,3,2,1.5333333333333334,1.6666666666666667,1.3333333333333333,1.0666666666666667,1.6,2.0,0.8,1.0,2.0,2.3333333333333335,1.0,1.3333333333333333,0.6,0.4,2.25,1.0817766382160512,1.0515283933607145,1026.9191667694106,1168.4403255715101,0.3985024334035254,2023-11-04T17:38:21.504040+00:00,"WiganPeterborough07 Nov 2023,",E2,https://www.oddsportal.com/football/england/league-one/wigan-peterborough-GQDgoxVB/
Shrewsbury,Bolton,1.8312000000000004,1.9455999999999996,1.9543999999999997,3.7067999999999994,3.4772000000000007,"07 Nov 2023, 20:45",Predicted_game,unknown,unknown,14.5,19,3,0,2,2,0,0.4666666666666667,1.9285714285714286,1.2,1.2857142857142858,0.6,2.4,1.2,1.6,0.3333333333333333,2.6666666666666665,1.6666666666666667,1.0,0.2,0.7142857142857143,2.4285714285714284,0.9529389294383749,1.2130746117187476,918.0636979064654,1117.1603601344407,0.32231786686979313,2023-11-04T17:37:38.404279+00:00,"ShrewsburyBolton07 Nov 2023,",E2,https://www.oddsportal.com/football/england/league-one/shrewsbury-bolton-Qaa4d8xK/
